#ID,RA,DEC,RV,RV_err,RAD
NGC4697_S89,192.24677,-5.834737,1221,9,6.15
NGC4697_S90,192.07408,-5.774476,1348,15,4.77
NGC4649_S1,190.940928,11.554591,1128,19,1.44
NGC4649_S2,190.968314,11.550888,1171,52,3.04
NGC4649_S3,190.956115,11.550649,1036,28,2.33
NGC4649_S4,190.9979,11.5586,1210,15,4.79
NGC4649_S5,190.948385,11.551124,756,11,1.87
NGC4649_S6,190.94571,11.563868,837,16,1.84
NGC4649_S7,190.97861,11.561268,930,15,3.68
NGC4649_S8,190.935322,11.554961,1027,13,1.11
NGC4649_S9,190.972716,11.538438,1286,7,3.41
NGC4649_S10,190.935399,11.563346,1488,8,1.28
NGC4649_S11,190.957741,11.53852,1497,8,2.57
NGC4649_S12,190.970971,11.569358,1386,26,3.35
NGC4649_S13,190.964076,11.561869,1050,38,2.85
NGC4649_S14,190.960135,11.599951,1114,33,3.82
NGC4649_S15,190.980223,11.556329,1119,17,3.75
NGC4649_S16,190.952045,11.558243,1345,7,2.11
NGC4649_S17,190.927624,11.561247,943,16,0.83
NGC4649_S18,190.971457,11.550338,723,16,3.23
NGC4649_S19,190.98018,11.59037,854,10,4.37
NGC4649_S20,190.975796,11.559922,1198,15,3.51
NGC4649_S21,190.932606,11.556933,814,27,0.98
NGC4649_S22,190.950706,11.554195,435,11,2.01
NGC4649_S23,190.950801,11.543297,1028,5,2.09
NGC4649_S24,190.977128,11.545064,1165,13,3.59
NGC4649_S25,190.938505,11.555102,1070,7,1.3
NGC4649_S26,190.945869,11.582635,484,10,2.49
NGC4649_S27,190.962849,11.548043,1295,45,2.74
NGC4649_S28,190.943846,11.566978,744,7,1.82
NGC4649_S29,190.954747,11.547145,1288,11,2.27
NGC4649_S30,190.993942,11.55583,849,8,4.55
NGC4649_S31,190.925748,11.56362,1492,8,0.85
NGC4649_S32,190.99913,11.560489,1258,14,4.88
NGC4649_S33,190.945015,11.547525,1555,11,1.7
NGC4649_S34,190.960429,11.551387,1029,15,2.58
NGC4649_S35,190.944658,11.578264,1249,15,2.25
NGC4649_S36,190.935929,11.554324,722,7,1.14
NGC4649_S37,190.954058,11.57855,958,6,2.69
NGC4649_S38,190.985543,11.557587,1110,15,4.07
NGC4649_S39,190.969996,11.54818,999,11,3.15
NGC4649_S40,190.995062,11.567944,1040,11,4.7
NGC4649_S41,190.971596,11.589068,1275,43,3.9
NGC4649_S42,190.97856,11.585947,922,17,4.15
NGC4649_S43,190.926564,11.564781,969,22,0.93
NGC4649_S44,190.968866,11.577995,695,14,3.43
NGC4649_S45,190.973885,11.538153,1146,32,3.48
NGC4649_S46,190.959369,11.536497,1183,63,2.7
NGC4649_S47,190.946454,11.57348,919,18,2.15
NGC4649_S48,190.952497,11.585424,1065,19,2.88
NGC4649_S49,190.956764,11.559963,893,12,2.4
NGC4649_S50,190.942674,11.559595,705,41,1.59
NGC4649_S51,190.946564,11.570028,1239,25,2.05
NGC4649_S52,190.966772,11.579604,856,21,3.36
NGC4649_S53,190.959268,11.556919,1207,11,2.52
NGC4649_S54,190.936561,11.544472,735,25,1.28
NGC4649_S55,190.931197,11.499663,1065,16,3.3
NGC4649_S56,190.932566,11.541706,1147,21,1.15
NGC4649_S57,190.946271,11.545542,626,13,1.8
NGC4649_S58,190.987852,11.529671,1145,12,4.41
NGC4649_S59,190.929053,11.536658,612,6,1.21
NGC4649_S60,190.93679,11.548458,619,9,1.22
NGC4649_S61,190.953367,11.500012,1200,11,3.83
NGC4649_S62,190.953222,11.527582,608,6,2.63
NGC4649_S63,190.964093,11.525512,981,20,3.24
NGC4649_S64,190.94117,11.541692,1248,12,1.59
NGC4649_S65,190.94126,11.514928,687,13,2.69
NGC4649_S66,190.951988,11.519797,1042,8,2.87
NGC4649_S67,190.952201,11.537679,1326,14,2.28
NGC4649_S68,190.972161,11.528278,1326,14,3.58
NGC4649_S69,190.946732,11.50276,1059,5,3.48
NGC4649_S70,190.945408,11.542805,1035,6,1.8
NGC4649_S71,190.936721,11.515761,903,12,2.51
NGC4649_S72,190.961741,11.497691,935,32,4.24
NGC4649_S73,190.958568,11.516367,1028,11,3.29
NGC4649_S74,190.932227,11.529109,907,4,1.69
NGC4649_S75,190.942434,11.539054,845,14,1.73
NGC4649_S76,190.962592,11.51511,663,18,3.52
NGC4649_S77,190.927681,11.51649,820,6,2.27
NGC4649_S78,190.948131,11.539458,1015,14,2.02
NGC4649_S79,190.917448,11.501384,1337,5,3.08
NGC4649_S80,190.974527,11.531692,836,12,3.63
NGC4649_S81,190.981131,11.536706,794,11,3.92
NGC4649_S82,190.949435,11.528578,881,8,2.41
NGC4649_S83,190.94055,11.512596,1139,7,2.79
NGC4649_S84,190.982818,11.537818,1107,10,4
NGC4649_S85,190.968799,11.525652,1241,9,3.47
NGC4649_S86,190.968731,11.515358,840,14,3.8
NGC4649_S87,190.947294,11.53229,1072,8,2.18
NGC4649_S88,190.986235,11.539346,638,9,4.17
NGC4649_S89,190.942476,11.524928,1059,8,2.26
NGC4649_S90,190.975379,11.517859,915,19,4.04
NGC4649_S91,190.930155,11.532484,1120,26,1.45
NGC4649_S92,190.956637,11.515818,1033,7,3.23
NGC4649_S93,190.94619,11.522652,1114,11,2.51
NGC4649_S94,190.984069,11.536672,1148,16,4.08
NGC4649_S95,190.975521,11.51811,1076,21,4.04
NGC4649_S96,190.931689,11.518259,1084,11,2.25
NGC4649_S97,190.935672,11.53936,1230,18,1.38
NGC4649_S98,190.907245,11.617526,1209,6,3.93
NGC4649_S99,190.902832,11.59475,1326,23,2.65
NGC4649_S100,190.934062,11.584262,641,39,2.15
NGC4649_S101,190.936866,11.603551,1055,8,3.28
NGC4649_S102,190.907124,11.58134,1495,24,1.81
NGC4649_S103,190.8982,11.60234,1117,50,3.17
NGC4649_S104,190.91818,11.596693,1153,29,2.64
NGC4649_S105,190.901653,11.594859,1008,11,2.68
NGC4649_S106,190.933844,11.588927,584,7,2.4
NGC4649_S107,190.903119,11.603261,779,10,3.13
NGC4649_S108,190.924373,11.586018,1302,9,2.05
NGC4649_S109,190.914791,11.581128,875,10,1.71
NGC4649_S110,190.926298,11.57923,1198,12,1.69
NGC4649_S111,190.949711,11.594466,1247,22,3.17
NGC4649_S112,190.932462,11.587275,648,11,2.27
NGC4649_S113,190.891724,11.600504,1494,9,3.22
NGC4649_S114,190.917103,11.592138,762,11,2.37
NGC4649_S115,190.902201,11.584112,1433,16,2.06
NGC4649_S116,190.929196,11.621098,1000,16,4.17
NGC4649_S117,190.933412,11.592482,1070,17,2.58
NGC4649_S118,190.931122,11.586067,1048,110,2.18
NGC4649_S119,190.924164,11.608236,871,11,3.36
NGC4649_S120,190.926099,11.573786,1425,9,1.38
NGC4649_S121,190.913051,11.609108,882,13,3.39
NGC4649_S122,190.927073,11.625386,999,18,4.4
NGC4649_S123,190.930299,11.599826,1381,9,2.94
NGC4649_S124,190.923519,11.585082,1191,15,1.99
NGC4649_S125,190.894246,11.602852,1508,7,3.28
NGC4649_S126,190.916334,11.576334,1048,16,1.42
NGC4649_S127,190.925658,11.572939,1327,14,1.33
NGC4649_S128,190.932446,11.578073,786,41,1.79
NGC4649_S129,190.933142,11.580597,1209,11,1.94
NGC4649_S130,190.925038,11.582249,984,7,1.84
NGC4649_S131,190.936884,11.591388,1016,12,2.61
NGC4649_S132,190.916373,11.62678,1312,16,4.44
NGC4649_S133,190.895139,11.592606,801,13,2.71
NGC4649_S134,190.896571,11.602604,1477,6,3.22
NGC4649_S135,190.99947,11.576976,891,13,5.09
NGC4649_S136,190.937603,11.244088,1027,50,18.56
NGC4649_S137,190.567919,11.657965,981,35,21.45
NGC4649_S138,190.616989,11.693559,1417,28,19.53
NGC4649_S139,190.882461,11.537553,1236,22,2.2
NGC4649_S140,190.880918,11.501524,1541,13,3.72
NGC4649_S141,190.863119,11.494442,1200,16,4.7
NGC4649_S142,190.876828,11.528751,714,67,2.74
NGC4649_S143,190.888974,11.515714,1772,12,2.75
NGC4649_S144,190.873014,11.492471,1293,11,4.43
NGC4649_S145,190.893571,11.488415,1174,26,4.09
NGC4649_S146,190.873724,11.497264,1291,8,4.17
NGC4649_S147,190.889054,11.505642,948,6,3.25
NGC4649_S148,190.900264,11.522176,1017,6,2.07
NGC4649_S149,190.874997,11.524772,1091,28,2.96
NGC4649_S150,190.91669,11.533011,979,8,1.18
NGC4649_S151,190.875923,11.533314,933,6,2.66
NGC4649_S152,190.872817,11.500404,1150,10,4.06
NGC4649_S153,190.911563,11.490214,1174,5,3.76
NGC4649_S154,190.894771,11.52508,1323,7,2.09
NGC4649_S155,190.904165,11.510798,1086,15,2.62
NGC4649_S156,190.905269,11.521342,1160,7,2
NGC4649_S157,190.888132,11.502481,978,8,3.45
NGC4649_S158,190.900524,11.503067,1164,5,3.12
NGC4649_S159,190.885548,11.509034,939,10,3.19
NGC4649_S160,190.897073,11.523806,1194,18,2.08
NGC4649_S161,190.905429,11.500656,1331,17,3.19
NGC4649_S162,190.909617,11.536153,1302,10,1.07
NGC4649_S163,190.89402,11.54107,1478,17,1.5
NGC4649_S164,190.878539,11.514616,1265,13,3.2
NGC4649_S165,190.910507,11.481268,1068,8,4.3
NGC4649_S166,190.891427,11.517326,1318,8,2.59
NGC4649_S167,190.903349,11.482846,1077,7,4.26
NGC4649_S168,190.918588,11.526058,1114,13,1.6
NGC4649_S169,190.90194,11.498321,1120,24,3.37
NGC4649_S170,190.902652,11.505414,1490,7,2.95
NGC4649_S171,190.884515,11.49921,599,12,3.72
NGC4649_S172,190.915322,11.502656,960,8,3
NGC4649_S173,190.918411,11.519521,1150,27,1.99
NGC4649_S174,190.912675,11.527524,1042,44,1.53
NGC4649_S175,190.902542,11.511701,1502,8,2.59
NGC4649_S176,190.910439,11.507645,1005,9,2.73
NGC4649_S177,190.905873,11.536985,1202,18,1.13
NGC4649_S178,190.920575,11.526212,977,22,1.61
NGC4649_S179,190.914518,11.530622,1485,20,1.33
NGC4649_S180,190.873927,11.509989,1142,14,3.58
NGC4649_S181,190.867439,11.563184,841,5,2.96
NGC4649_S182,190.821115,11.543867,1181,14,5.64
NGC4649_S183,190.870548,11.569695,1348,18,2.89
NGC4649_S184,190.871242,11.547231,1285,24,2.68
NGC4649_S185,190.878644,11.570993,818,6,2.48
NGC4649_S186,190.845696,11.553962,1675,18,4.17
NGC4649_S187,190.874845,11.547904,1209,19,2.47
NGC4649_S188,190.85731,11.555255,1347,17,3.49
NGC4649_S189,190.836408,11.577801,1197,7,4.95
NGC4649_S190,190.874522,11.555089,1130,7,2.48
NGC4649_S191,190.878452,11.558603,971,9,2.27
NGC4649_S192,190.883222,11.563824,993,6,2.07
NGC4649_S193,190.878966,11.561461,892,10,2.27
NGC4649_S194,190.854106,11.579012,893,6,4
NGC4649_S195,190.853808,11.540789,1323,9,3.76
NGC4649_S196,190.839524,11.573301,1358,8,4.69
NGC4649_S197,190.847521,11.546213,1393,32,4.08
NGC4649_S198,190.85472,11.562113,1200,13,3.68
NGC4649_S199,190.890296,11.566226,724,31,1.74
NGC4649_S200,190.867689,11.544004,1330,27,2.92
NGC4649_S201,190.826429,11.553471,1537,18,5.3
NGC4649_S202,190.831492,11.530047,1228,21,5.18
NGC4649_S203,190.835794,11.557513,1503,13,4.76
NGC4649_S204,190.86183,11.571652,1393,10,3.41
NGC4649_S205,190.861844,11.523624,1521,46,3.66
NGC4649_S206,190.849492,11.570089,1088,18,4.08
NGC4649_S207,190.858854,11.551629,1354,18,3.39
NGC4649_S208,190.864444,11.561433,1051,16,3.11
NGC4649_S209,190.867012,11.541612,1317,35,2.99
NGC4649_S210,190.8853,11.563366,1515,27,1.95
NGC4649_S211,190.827631,11.560081,1401,12,5.25
NGC4649_S212,190.908135,11.554619,1346,10,0.51
NGC4649_S213,190.908247,11.555142,1083,22,0.51
NGC4649_S214,190.911308,11.54594,927,46,0.51
NGC4649_S215,190.923321,11.558147,1265,26,0.51
NGC4649_S216,190.92524,11.550037,941,8,0.53
NGC4649_S217,190.924935,11.54913,1128,27,0.54
NGC4649_S218,190.912073,11.544764,1337,40,0.54
NGC4649_S219,190.91523,11.555139,1303,13,0.17
NGC4649_S220,190.922995,11.544826,970,10,0.61
NGC4649_S221,190.910652,11.54433,923,39,0.61
NGC4649_S222,190.923368,11.560789,1179,10,0.63
NGC4649_S223,190.923122,11.544386,1451,44,0.63
NGC4649_S224,190.91284,11.542577,979,18,0.65
NGC4649_S225,190.919218,11.563266,1579,63,0.65
NGC4649_S226,190.926066,11.558308,625,6,0.65
NGC4649_S227,190.905011,11.551653,703,47,0.68
NGC4649_S228,190.91174,11.56301,1297,11,0.68
NGC4649_S229,190.909375,11.561721,742,37,0.69
NGC4649_S230,190.906506,11.54601,875,28,0.71
NGC4649_S231,190.926953,11.559918,914,30,0.75
NGC4649_S232,190.929176,11.554596,909,19,0.75
NGC4649_S233,190.91607,11.539548,1330,19,0.79
NGC4649_S234,190.911694,11.565295,1086,6,0.81
NGC4649_S235,190.915476,11.539077,992,6,0.82
NGC4649_S236,190.930232,11.557021,785,28,0.84
NGC4649_S237,190.905955,11.563472,1494,19,0.9
NGC4649_S238,190.90385,11.54423,1697,29,0.9
NGC4649_S239,190.930381,11.545569,1100,18,0.92
NGC4649_S240,190.92466,11.539005,1016,4,0.95
NGC4649_S241,190.923765,11.538516,1150,24,0.95
NGC4649_S242,190.904672,11.54094,1451,22,0.99
NGC4649_S243,190.900323,11.547675,1296,16,1
NGC4649_S244,190.903102,11.56346,1162,16,1.02
NGC4649_S245,190.920876,11.535967,925,5,1.04
NGC4649_S246,190.929361,11.540827,771,20,1.04
NGC4649_S247,190.921309,11.535218,1050,18,1.09
NGC4649_S248,190.898015,11.55311,1573,6,1.09
NGC4649_S249,190.919379,11.548735,1080,18,0.29
NGC4649_S250,190.929361,11.538942,1166,7,1.12
NGC4649_S251,190.912137,11.570944,1166,9,1.12
NGC4649_S252,190.906963,11.568996,909,17,1.13
NGC4649_S253,190.896511,11.552206,1509,7,1.18
NGC4649_S254,190.910642,11.571614,1554,18,1.19
NGC4649_S255,190.911233,11.551417,833,10,0.32
NGC4649_S256,190.894739,11.550781,1338,37,1.29
NGC4649_S257,190.927345,11.533789,1317,5,1.3
NGC4649_S258,190.912199,11.574605,1059,13,1.34
NGC4649_S259,190.895413,11.561272,1387,6,1.35
NGC4649_S260,190.909422,11.575511,731,8,1.43
NGC4649_S261,190.899881,11.571098,989,13,1.48
NGC4649_S262,190.892924,11.562687,1170,13,1.51
NGC4649_S263,190.894222,11.566339,1170,9,1.55
NGC4649_S264,190.895288,11.569726,1330,14,1.61
NGC4649_S265,190.91038,11.550754,1399,8,0.38
NGC4649_S266,190.922264,11.555807,1624,31,0.38
NGC4649_S267,190.887003,11.551661,1252,29,1.74
NGC4649_S268,190.912608,11.558319,1859,5,0.41
NGC4649_S269,190.95653,11.63622,1246,25,5.53
NGC4649_S270,190.841756,11.490229,1198,7,5.78
NGC4649_S271,190.822805,11.49073,937,7,6.65
NGC4649_S272,190.932188,11.491229,1503,26,3.8
NGC4649_S273,190.827112,11.49135,1566,28,6.42
NGC4649_S274,191.002659,11.495305,1256,25,6.12
NGC4649_S275,190.983191,11.499163,840,14,5.07
NGC4649_S276,191.011896,11.500892,1076,26,6.41
NGC4649_S277,190.80541,11.501181,1103,6,7.23
NGC4649_S278,190.792955,11.504516,1261,7,7.82
NGC4649_S279,190.795795,11.505297,1209,13,7.65
NGC4649_S280,190.82848,11.505739,1473,11,5.9
NGC4649_S281,191.183318,11.507016,861,40,15.92
NGC4649_S282,190.83509,11.50749,966,8,5.5
NGC4649_S283,190.814048,11.509617,1250,11,6.56
NGC4649_S284,191.013854,11.510453,829,25,6.26
NGC4649_S285,190.987153,11.51057,1464,43,4.86
NGC4649_S286,190.793028,11.512079,1189,45,7.66
NGC4649_S287,190.987738,11.520158,1015,31,4.62
NGC4649_S288,190.990989,11.520028,1011,8,4.79
NGC4649_S289,190.999538,11.521809,1112,6,5.22
NGC4649_S290,190.854172,11.521634,1034,23,4.11
NGC4649_S291,191.039212,11.523532,1217,8,7.42
NGC4649_S292,191.001683,11.525775,1101,5,5.26
NGC4649_S293,190.995494,11.529212,1281,12,4.85
NGC4649_S294,191.047079,11.529895,1166,13,7.79
NGC4649_S295,190.796528,11.530954,1298,21,7.18
NGC4649_S296,191.094581,11.53283,1079,50,10.53
NGC4649_S297,190.997182,11.53319,1344,35,4.88
NGC4649_S298,190.844978,11.533868,1202,11,4.36
NGC4649_S299,191.010488,11.533928,1190,4,5.64
NGC4649_S300,191.047873,11.534812,846,11,7.79
NGC4649_S301,190.854938,11.535928,1424,17,3.76
NGC4649_S302,190.809615,11.535986,1133,8,6.37
NGC4649_S303,191.011342,11.537364,1125,17,5.65
NGC4649_S304,191.037508,11.541115,1336,38,7.14
NGC4649_S305,191.002462,11.541932,987,3,5.09
NGC4649_S306,191.052744,11.543493,1353,12,8.02
NGC4649_S307,191.002393,11.544048,1037,22,5.07
NGC4649_S308,190.78353,11.544374,1249,20,7.84
NGC4649_S309,191.045129,11.546215,517,25,7.57
NGC4649_S310,190.791904,11.54667,1200,8,7.34
NGC4649_S311,190.864262,11.549871,1019,11,3.08
NGC4649_S312,190.906332,11.550958,1149,24,0.61
NGC4649_S313,190.778044,11.551642,1295,12,8.14
NGC4649_S314,191.000724,11.552512,637,13,4.95
NGC4649_S315,191.015916,11.555071,786,7,5.84
NGC4649_S316,191.040079,11.556607,994,11,7.26
NGC4649_S317,190.801076,11.562528,1088,7,6.81
NGC4649_S318,190.919548,11.564285,675,55,0.72
NGC4649_S319,190.745316,11.564458,1396,55,10.09
NGC4649_S320,191.051198,11.565872,1275,12,7.95
NGC4649_S321,190.767372,11.566071,1053,9,8.81
NGC4649_S322,190.825696,11.56623,702,8,5.4
NGC4649_S323,190.815019,11.568224,1046,13,6.04
NGC4649_S324,190.868555,11.568845,577,5,2.98
NGC4649_S325,190.805793,11.570399,974,19,6.6
NGC4649_S326,190.731495,11.56997,1110,40,10.93
NGC4649_S327,190.78257,11.570894,1117,8,7.95
NGC4649_S328,190.809384,11.572253,1424,8,6.41
NGC4649_S329,191.027147,11.572204,1123,12,6.6
NGC4649_S330,190.773923,11.573046,1374,6,8.47
NGC4649_S331,191.042168,11.573495,658,8,7.49
NGC4649_S332,190.995437,11.579127,1245,23,4.9
NGC4649_S333,191.007079,11.581354,993,15,5.59
NGC4649_S334,190.997005,11.581776,1428,13,5.04
NGC4649_S335,190.853979,11.58629,834,12,4.19
NGC4649_S336,190.84672,11.589362,1134,11,4.66
NGC4649_S337,190.822644,11.591377,821,5,5.99
NGC4649_S338,190.773301,11.592527,1252,15,8.75
NGC4649_S339,191.017807,11.593969,913,9,6.45
NGC4649_S340,190.840115,11.597274,1075,10,5.23
NGC4649_S341,190.735398,11.596725,843,28,10.97
NGC4649_S342,190.761333,11.602902,1452,25,9.61
NGC4649_S343,190.816504,11.604104,948,18,6.64
NGC4649_S344,190.976729,11.605806,1295,17,4.76
NGC4649_S345,190.832938,11.605376,1038,50,5.84
NGC4649_S346,190.83472,11.607428,877,18,5.82
NGC4649_S347,191.013156,11.610243,771,14,6.65
NGC4649_S348,190.796322,11.612566,1413,11,7.93
NGC4649_S349,191.073991,11.613252,715,28,9.94
NGC4649_S350,190.82969,11.615512,1185,15,6.35
NGC4649_S351,190.88312,11.617768,621,2,4.37
NGC4649_S352,191.000266,11.622022,1281,12,6.44
NGC4649_S353,190.872342,11.625694,1061,7,5.09
NGC4649_S354,190.94334,11.630967,1508,10,4.95
NGC4649_S355,190.892507,11.634936,1152,11,5.13
NGC4649_S356,190.864846,11.635192,1435,23,5.81
NGC4649_S357,190.887353,11.639658,1337,16,5.49
NGC4649_S358,190.887,11.641377,1151,10,5.6
NGC4649_S359,190.882056,11.642379,1024,19,5.75
NGC4649_S360,190.832984,11.651664,865,48,7.71
NGC4649_S361,190.901417,11.651886,1125,8,6.02
NGC4649_S362,190.947695,11.6544,785,16,6.37
NGC4649_S363,190.814555,11.656355,1300,7,8.64
NGC4649_S364,190.9349,11.657443,1006,11,6.38
NGC4649_S365,190.912859,11.660253,1008,8,6.46
NGC4649_S366,190.940779,11.660453,930,26,6.62
NGC4649_S367,191.105719,11.660081,985,50,12.85
NGC4649_S368,190.905867,11.661005,1163,9,6.53
NGC4649_S369,190.836134,11.661631,1266,4,8.07
NGC4649_S370,190.902253,11.664756,1341,6,6.78
NGC4649_S371,190.851463,11.666943,919,55,7.85
NGC4649_S372,190.956594,11.670797,1345,35,7.47
NGC4649_S373,190.731514,11.673268,1221,40,13.06
NGC4649_S374,190.803534,11.68594,1374,25,10.39
NGC4649_S375,191.086362,11.685898,1009,38,12.79
NGC4649_S376,191.164904,11.687518,1265,95,16.69
NGC4649_S377,190.875064,11.702954,1169,42,9.34
NGC4649_S378,190.835699,11.715215,1257,50,10.85
NGC4649_S379,190.998676,11.715521,441,30,10.9
NGC4649_S380,190.800565,11.730936,1059,32,12.68
NGC4649_S381,190.816388,11.732094,844,58,12.27
NGC4649_S382,191.021702,11.746266,651,40,13.16
NGC4649_S383,190.782084,11.784809,547,40,16.01
NGC4649_S384,190.863006,11.826237,910,28,16.71
NGC4649_S385,190.689524,11.378982,1120,25,16.93
NGC4649_S386,190.884655,11.390873,1094,28,9.89
NGC4649_S387,190.78379,11.390956,1163,35,12.45
NGC4649_S388,191.194887,11.411219,1037,40,18.43
NGC4649_S389,190.861609,11.416689,1518,21,8.78
NGC4649_S390,190.821817,11.421723,671,40,9.63
NGC4649_S391,190.927989,11.422616,819,46,7.83
NGC4649_S392,190.968644,11.421739,1208,30,8.43
NGC4649_S393,190.886752,11.425102,683,107,7.85
NGC4649_S394,190.950198,11.43482,906,10,7.34
NGC4649_S395,190.877264,11.438216,1517,27,7.25
NGC4649_S396,190.930363,11.440102,1255,16,6.8
NGC4649_S397,190.97436,11.439228,1082,38,7.61
NGC4649_S398,190.893577,11.442224,1509,23,6.77
NGC4649_S399,190.929496,11.443054,1356,10,6.62
NGC4649_S400,190.927229,11.448785,1268,4,6.27
NGC4649_S401,190.909845,11.449595,1080,15,6.2
NGC4649_S402,190.895177,11.451594,1000,4,6.2
NGC4649_S403,190.934481,11.453448,849,11,6.05
NGC4649_S404,191.095554,11.454077,1240,32,12.07
NGC4649_S405,190.893818,11.455307,902,10,5.99
NGC4649_S406,190.910638,11.456162,575,44,5.8
NGC4649_S407,190.901488,11.457724,788,11,5.77
NGC4649_S408,190.898124,11.46002,770,40,5.67
NGC4649_S409,190.904642,11.461163,1083,39,5.54
NGC4649_S410,190.893853,11.462482,1665,31,5.58
NGC4649_S411,190.884113,11.464923,1026,20,5.6
NGC4649_S412,190.911942,11.468954,1044,20,5.03
NGC4649_S413,190.918514,11.474611,1082,17,4.69
NGC4649_S414,190.924284,11.475825,1014,40,4.64
NGC4649_S415,190.889226,11.477582,1120,5,4.79
NGC4649_S416,190.952465,11.478841,868,11,4.91
NGC4649_S417,190.896314,11.479317,946,9,4.56
NGC4649_S418,190.925335,11.481484,886,7,4.3
NGC4649_S419,190.950753,11.481922,864,12,4.7
NGC4649_S420,190.889319,11.484399,1195,12,4.4
NGC4649_S421,190.991315,11.484477,1051,40,6.01
NGC4649_S422,190.947595,11.48529,1344,68,4.44
NGC4649_S423,190.869587,11.485812,1019,25,4.87
  NGC4564_GC1,189.09775,11.442741,1075,4,0.89
  NGC4564_GC2,189.10085,11.442488,1194,4,0.71
  NGC4564_GC3,189.10103,11.42805,975,15,0.95
  NGC4564_GC4,189.10674,11.440821,1085,23,0.35
  NGC4564_GC5,189.1143,11.453634,1232,8,0.87
  NGC4564_GC6,189.10481,11.426902,1064,11,0.87
  NGC4564_GC7,189.11241,11.442249,1082,5,0.18
  NGC4564_GC8,189.11778,11.446727,1252,5,0.55
  NGC4564_GC9,189.11553,11.441366,1275,17,0.22
  NGC4564_GC10,189.11164,11.426379,1204,5,0.78
  NGC4564_GC11,189.11684,11.435991,1355,10,0.33
  NGC4564_GC12,189.13255,11.447414,1235,9,1.28
  NGC4564_GC13,189.13346,11.449004,1287,3,1.37
  NGC4564_GC14,189.12837,11.445221,1222,6,1
  NGC4564_GC15,189.11724,11.441811,1300,32,0.32
  NGC4564_GC16,189.13431,11.460562,1265,9,1.81
  NGC4564_GC17,189.148859,11.443315,1173,8,2.16
  NGC4564_GC18,189.109021,11.398294,1107,16,2.47
  NGC4564_GC19,189.138522,11.450056,1258,9,1.67
  NGC4564_GC20,189.1115,11.4434,1131,5,0.25
  NGC4564_GC21,189.10599,11.441833,1107,12,0.41
  NGC4564_GC22,189.10694,11.433404,1008,23,0.48
  NGC4564_GC23,189.11807,11.450047,1105,11,0.73
  NGC4564_GC24,189.116,11.442401,1335,12,0.28
  NGC4564_GC25,189.11511,11.440861,1301,21,0.18
  NGC4564_GC26,189.112303,11.458104,1245,17,1.13
NGC4526_S1,188.593,7.62025,209,5,6.73
NGC4526_S2,188.496208,7.712389,869,3,1.26
NGC4526_S3,188.491875,7.721361,833,4,1.81
NGC4526_S4,188.532958,7.694222,181,8,1.24
NGC4526_S5,188.502375,7.700167,770,10,0.62
NGC4526_S6,188.525625,7.701056,367,8,0.76
NGC4526_S7,188.496917,7.709694,963,8,1.13
NGC4526_S8,188.519625,7.702222,620,7,0.43
NGC4526_S9,188.47325,7.693444,654,17,2.38
NGC4526_S10,188.486375,7.719972,329,14,2
NGC4526_S11,188.525375,7.688444,444,14,1
NGC4526_S12,188.523292,7.701639,419,9,0.63
NGC4526_S13,188.536,7.705889,851,8,1.43
NGC4526_S14,188.498958,7.726778,480,18,1.83
NGC4526_S15,188.55575,7.685278,681,3,2.69
NGC4526_S16,188.473542,7.706833,767,3,2.38
NGC4526_S17,188.592167,7.630833,575,4,6.26
NGC4526_S18,188.600792,7.628639,730,5,6.74
NGC4526_S19,188.572958,7.693194,896,4,3.59
NGC4526_S20,188.4245,7.766833,608,7,6.63
NGC4526_S21,188.415208,7.734778,720,15,6.18
NGC4526_S22,188.472625,7.718806,830,5,2.66
NGC4526_S23,188.420708,7.703806,725,11,5.49
NGC4526_S24,188.54775,7.702167,453,7,2.08
NGC4526_S25,188.530333,7.680167,579,6,1.56
NGC4526_S26,188.527625,7.668889,567,8,2.04
NGC4526_S27,188.5505,7.715194,724,9,2.43
NGC4526_S28,188.570333,7.693944,535,5,3.43
NGC4526_S29,188.445667,7.757861,552,14,5.31
NGC4526_S30,188.547,7.65075,519,15,3.56
NGC4526_S31,188.574,7.680194,391,10,3.82
NGC4526_S32,188.557583,7.706583,392,16,2.69
NGC4526_S33,188.474292,7.702667,659,13,2.3
NGC4526_S34,188.552458,7.705306,698,13,2.38
NGC4526_S35,188.513167,7.714167,842,10,0.88
NGC4526_S36,188.527917,7.722361,547,5,1.64
NGC4526_S37,188.522875,7.696306,604,23,0.63
NGC4526_S38,188.526292,7.692528,641,8,0.9
NGC4526_S39,188.505583,7.687944,891,8,0.82
NGC4526_S40,188.486417,7.703417,843,14,1.59
NGC4526_S41,188.502458,7.700556,624,17,0.62
NGC4526_S42,188.507125,7.711028,940,22,0.77
NGC4526_S43,188.498042,7.687194,734,11,1.15
NGC4526_S44,188.52725,7.704306,603,11,0.9
NGC4526_S45,188.499333,7.695667,565,18,0.84
NGC4526_S46,188.55775,7.777833,250,4,5.4
NGC4526_S47,188.463167,7.671056,536,4,3.41
NGC4526_S48,188.50125,7.768306,217,6,4.18
NGC4526_S49,188.447667,7.635806,166,7,5.44
NGC4526_S50,188.498917,7.74875,541,13,3.07
NGC4526_S51,188.4845,7.665361,466,12,2.65
NGC4526_S52,188.526458,7.748194,634,11,3.03
NGC4526_S53,188.474667,7.654167,661,16,3.54
