Line_number2,objID,ra,dec,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,specObjID,Redshift
159,1237666215680082102,17.1253510609356,13.4471890528484,STAR,20.51814,19.69128,19.55048,19.49229,19.22138,5251366044333436928,2.330801
159,1237666215680082102,17.1253510609356,13.4471890528484,STAR,20.51814,19.69128,19.55048,19.49229,19.22138,5251367143945728000,2.328197
165,1237649919501009141,11.2840583429685,14.6592882060664,STAR,21.35867,20.53217,20.19464,20.19396,19.67093,6977206774374526976,0.7931677
168,1237649919501009140,11.2798692860478,14.6723000371344,STAR,21.16785,21.20673,20.63049,20.77039,20.8401,6984089168666882048,1.268322
170,1237649919501074436,11.3594182193368,14.612099054114,STAR,19.08477,18.97441,18.75077,18.42152,18.26933,471792773297629184,1.959002
170,1237649919501074436,11.3594182193368,14.612099054114,STAR,19.08477,18.97441,18.75077,18.42152,18.26933,471792774237153280,1.960143
170,1237649919501074436,11.3594182193368,14.612099054114,STAR,19.08477,18.97441,18.75077,18.42152,18.26933,471791674910074880,1.958689
171,1237649919501074438,11.365350442174,14.6378225416198,STAR,18.12263,17.81708,17.28982,16.98605,16.72478,471780953547630592,1.873414
171,1237649919501074438,11.365350442174,14.6378225416198,STAR,18.12263,17.81708,17.28982,16.98605,16.72478,471781229365061632,1.872893
171,1237649919501074438,11.365350442174,14.6378225416198,STAR,18.12263,17.81708,17.28982,16.98605,16.72478,471780679793797120,1.872367
174,1237649919507104385,25.6362584689979,13.7779906878165,GALAXY,25.15418,22.92968,21.42923,20.30913,19.55452,5244600189566251008,0.7137592
175,1237653651309002968,25.7600214353419,13.6451770495163,GALAXY,21.11643,18.4115,16.68695,16.03327,15.40682,479653732854818816,0.002856168
180,1237649921113129072,14.8171038395207,15.6378141184837,GALAXY,19.25533,18.98472,18.58686,18.36227,17.78639,474105871035557888,0.3541335
184,1237666214607323251,18.1509058849347,15.5313302489816,GALAXY,24.30268,21.53106,19.85016,18.82042,18.51436,5777264374155243520,0.4532862
188,1237666214607323350,18.2245679146885,15.6024654740862,GALAXY,17.84745,15.89528,14.97274,14.52753,14.17325,476345576221337600,0.04098213
190,1237666214607323150,18.2482474534867,15.4913071268096,GALAXY,16.93982,14.91535,13.95579,13.49692,13.12234,476348325000407040,0.04384906
191,1237666214607323485,18.2735878204759,15.5295813582943,STAR,19.53819,18.9768,18.81101,18.48154,18.43233,476360144750405632,0.5763241
192,1237666214607323360,18.2877597024993,15.59823226975,STAR,18.56557,18.57151,18.51803,18.1478,18.16961,475295542449039360,1.808028
192,1237666214607323360,18.2877597024993,15.59823226975,STAR,18.56557,18.57151,18.51803,18.1478,18.16961,475298292352182272,1.807305
192,1237666214607323360,18.2877597024993,15.59823226975,STAR,18.56557,18.57151,18.51803,18.1478,18.16961,5785031599087874048,1.807063
193,1237666089515155470,18.3153281379128,15.5164774666278,GALAXY,17.03573,14.92009,13.97105,13.48848,13.18854,475298017474275328,0.04694273
193,1237666089515155470,18.3153281379128,15.5164774666278,GALAXY,17.03573,14.92009,13.97105,13.48848,13.18854,475298840983922688,0.04693133
194,1237666214607323520,18.2250809981445,15.5469867983616,GALAXY,17.46921,15.52056,14.63039,14.19089,13.83952,475299391863810048,0.04625707
194,1237666214607323520,18.2250809981445,15.5469867983616,GALAXY,17.46921,15.52056,14.63039,14.19089,13.83952,475297741472294912,0.04624331
199,1237666214607323455,18.2618120719455,15.527451066243,GALAXY,17.18366,15.32175,14.40365,13.91764,13.55922,475296643084740608,0.04573481
199,1237666214607323455,18.2618120719455,15.527451066243,GALAXY,17.18366,15.32175,14.40365,13.91764,13.55922,475296916838574080,0.04568637
200,1237666089515090279,18.3074448382989,15.4939501422737,GALAXY,21.51899,18.7167,17.2521,16.64479,16.24091,475299941619623936,0.2303992
200,1237666089515090279,18.3074448382989,15.4939501422737,GALAXY,21.51899,18.7167,17.2521,16.64479,16.24091,475296367082760192,0.2303998
201,1237666214607389134,18.2708524806384,15.6317960659676,GALAXY,21.28977,21.13819,20.32941,19.57785,19.27526,5785021978361131008,0.5463498
205,1237666089515155885,18.3276184211274,15.6156095719662,STAR,21.61337,21.10514,20.98791,20.75497,20.60009,5785029400064618496,2.03634
210,1237653651308937427,25.560952725723,13.5659921952805,GALAXY,20.75064,20.01131,19.2761,18.81663,18.60071,5247825057539616768,0.2284052
210,1237653651308937427,25.560952725723,13.5659921952805,GALAXY,20.75064,20.01131,19.2761,18.81663,18.60071,5244561981537185792,0.2283479
211,1237653651308937725,25.6137029849314,13.5813929249119,GALAXY,20.98681,20.11485,19.29577,18.84642,18.48399,5244560607147651072,0.2731346
212,1237653651309002942,25.7155650115046,13.5646143067864,STAR,19.81781,19.61515,19.27814,19.2376,19.434,479650984075749376,1.073295
213,1237653651309003238,25.6351186950849,13.5437908113568,GALAXY,23.52825,21.38702,20.58125,19.69487,19.55562,5247819834859384832,0.5554211
215,1237653651839778964,11.3530149473539,14.7127754361755,GALAXY,19.85264,18.93877,18.17525,17.70205,17.52686,471795522076698624,0.195759
215,1237653651839778964,11.3530149473539,14.7127754361755,GALAXY,19.85264,18.93877,18.17525,17.70205,17.52686,471794148626688000,0.1955802
215,1237653651839778964,11.3530149473539,14.7127754361755,GALAXY,19.85264,18.93877,18.17525,17.70205,17.52686,471790850276354048,0.1956337
216,1237653651839844675,11.4731645526364,14.7675558813996,STAR,23.46389,21.92725,21.28155,20.79337,20.15274,6984071576480837632,2.103334
218,1237653651847446640,29.3405100039574,13.5666360015777,STAR,21.17935,19.91313,19.65195,19.55095,19.36512,5243354992631017472,2.820806
219,1237653651847446934,29.3382768983535,13.5238923948624,STAR,23.07143,22.51077,21.83014,21.34758,20.80114,5243354717753110528,1.042066
223,1237653651847447043,29.4092963229631,13.6061790490402,GALAXY,22.73662,21.77714,21.13726,20.31903,20.14327,5243358016287993856,0.6286557
224,1237649954403844288,20.4621936221779,14.8955706451109,STAR,20.37451,20.01773,19.98002,19.8797,19.84741,5784895259646029824,0.5932794
225,1237649954403909651,20.4834914177243,14.8066461347842,STAR,18.35568,17.2083,17.09801,16.98439,16.84926,477517381946599424,2.868648
