objid,ra,dec,devrad_r,fracdev_r,exprad_r,redshift,modelmag_u,modelmag_g,modelmag_r,modelmag_i,modelmag_z,petrorad_r,petroR50_r,clean
758877528343708150,113.80181504,65.7210756,0.425235,0.932093,0.41727,0,20.38365,19.086653,18.480206,18.209459,18.077448,1.506136,0.723248,0
587738197198045350,148.33404082,69.65455075,0.417378,1,0.435424,5.5494E-4,19.664051,18.25198,17.590912,17.269588,17.10112,1.911741,0.892705,0
587738067813728480,148.35925174,69.5215355,0.32607,1,0.389408,0,20.544283,19.135616,18.511593,18.210527,18.022572,2.089749,1.003424,0
587735665842454647,211.21951768,54.54104361,0.254419,0.827107,0.323639,0,21.448261,20.233353,19.747759,19.461758,19.366995,1.560218,0.765427,0
588017703470694575,187.73908849,12.42902879,0.303517,1,0.364223,0,20.87221,18.87446,18.073286,17.655371,17.370575,1.845757,0.872193,0
588017566027939963,187.97040785,12.26640682,1.671893,1,1.237963,3.23329E-3,19.430973,17.81592,17.156822,16.829422,16.623878,4.592157,1.999568,0
588017566564745340,187.7994829,12.68362178,0.261376,0.984308,0.350558,0,20.705172,19.076487,18.371552,17.994432,17.78179,2.136117,1.036285,1
588017704007237745,187.06595857,12.87008617,0.245831,0.984235,0.229292,0,21.710459,20.449566,19.972992,19.671322,19.660681,1.484437,0.747868,0
