objid,ra,dec,devrad_r,fracdev_r,exprad_r,redshift,modelmag_u,modelmag_g,modelmag_r,modelmag_i,modelmag_z,petrorad_r,petroR50_r,clean
587732483814522994,154.67191665,46.26334959,0.02783,1,0.030764,3.59155E-4,16.691402,15.519333,15.285492,15.173565,15.157351,1.200764,0.610031,1
587739296161071178,164.27771816,33.99674352,0.011077,0.463143,0.019773,2.64219E-4,16.392527,15.307502,15.176631,15.174231,15.219266,1.289825,0.660644,1
587729227684380713,225.65794233,61.03551255,0.294094,0,0.472163,2.65696E-4,16.858162,16.396448,15.888884,16.102037,15.830323,1.519126,0.767859,1
587730848496746786,310.14745367,0.88812132,5.945564E-3,0.918917,6.042728E-3,2.0357E-4,18.64747,17.204498,16.648235,16.424398,16.301134,1.058827,0.555926,1
588017703994785796,157.87336903,11.50118532,0.014942,1,0.013597,5.23044E-4,18.45336,17.335386,16.947983,16.762201,16.711714,1.830306,0.885356,1
587738569776824431,184.01273835,15.29249487,0.019247,0.964761,0.02648,3.79277E-4,18.511122,17.418547,17.049078,16.904127,16.847025,0.914278,0.472912,1
587724650876305512,199.81732953,-1.23474069,7.42734E-5,1,2.548533E-3,7.23091E-4,16.505806,16.226936,16.598162,16.855394,17.108463,1.580584,0.82268,1
587736525374750726,218.33541353,6.65113633,0.037329,1,0.045571,4.65831E-4,18.169195,17.269184,16.997551,16.873501,16.859337,1.156183,0.590427,1
587738410868736051,165.2458708,14.5068024,0.034397,0.683675,0.039344,4.76234E-4,18.450348,17.500751,17.232903,17.111368,17.094439,1.212759,0.615297,1
588016891168882692,138.64225985,31.71942956,0.080632,1,0.127527,9.33742E-4,18.89506,17.859674,17.500946,17.353508,17.331059,1.811904,0.879719,1
587731498651287564,164.32355562,54.60707228,0.027887,0,0.03274,4.50582E-4,17.661608,16.562679,16.594284,16.652687,16.708065,1.337794,0.670711,1
588017570311962735,192.25474764,12.05132247,0.024806,1,0.029285,2.2933E-4,17.987652,16.732998,16.899096,17.036331,17.11046,1.179817,0.598702,1
587735241172713558,126.71128923,28.11790033,0.044741,1,0.048667,3.02047E-4,18.02494,16.806179,16.730057,16.713583,16.726278,1.65212,0.820474,1
