objid,ra,dec,devrad_r,fracdev_r,exprad_r,redshift,modelmag_u,modelmag_g,modelmag_r,modelmag_i,modelmag_z,petrorad_r,petroR50_r,clean
587738372741660840,116.65920915,17.84873569,3.410829,1,1.893032,0.099447,20.097021,17.774647,16.562544,16.002417,15.595087,7.149158,2.987297,0
587738372741595420,116.6132857,17.72699443,2.215439,0.910078,1.269129,0.385649,22.014109,20.454048,18.626137,17.939569,17.52606,3.77699,1.680144,0
587738372741661139,116.64814766,17.79151365,2.124864,0.833001,1.554933,0.099454,20.162687,18.41552,17.493683,17.022011,16.675333,3.450557,1.529786,0
587738947730211265,116.57614087,17.48660303,1.743144,0.714693,1.343677,0.052642,19.688576,18.067997,17.196878,16.802402,16.505878,4.006806,1.815349,0
587738372204659165,116.59704237,17.38789572,1.38246,1,0.963166,0.186925,21.076723,18.888912,17.553602,17.038467,16.642744,3.302797,1.494219,0
587738372741529774,116.43668623,17.61864752,0.134685,1,0.202358,4.00692E-4,17.868021,16.665976,16.495852,16.448727,16.469185,1.288934,0.65449,1
587738372741595244,116.46908677,17.78560007,3.744652,1,2.869266,0.053032,18.366894,16.44746,15.513968,15.062135,14.723749,7.287049,2.853255,0
587738372741595631,116.58354675,17.6898705,4.146115,1,2.337801,0.144505,19.446188,17.605368,16.42062,15.931798,15.526381,7.111046,2.995417,0
587738372741660854,116.70512858,17.781652,0.082121,1,0.127917,3.26017E-4,19.394447,18.236166,18.169603,18.21184,18.249437,1.356381,0.67659,1
587738947730210998,116.51783569,17.60467737,0.142421,1,0.207079,3.23296E-4,18.09605,18.281139,18.736649,19.01816,19.388397,1.903882,0.937763,1
587738947730211356,116.55350146,17.61660089,5.088627,0.123221,3.166258,0.052573,19.487043,17.869848,17.07618,16.609621,16.277782,5.133351,2.366318,0
588016878285226419,116.60608511,17.90248314,0.081084,1,0.12766,3.78276E-4,20.876329,18.986778,17.66221,16.738287,16.229507,1.3579,0.683063,1
587738372204659393,116.69773097,17.38539277,2.863904,1,1.874722,0.113769,19.320658,17.408888,16.391546,15.945619,15.589377,5.62078,2.404663,0
587738372204725016,116.80781691,17.35180953,1.816454,0.606223,1.244235,0.400619,23.552753,20.646357,18.799536,18.119854,17.631014,3.017505,1.341679,0
587738372204790220,116.86806697,17.4702492,5.364302,0.436982,3.035985,0.049098,18.848112,17.191982,16.355324,15.910027,15.588675,6.055805,2.842916,0
587738372204790502,116.93752469,17.58760923,0.513366,1,0.518867,0.323667,19.635695,19.460897,18.92247,18.614698,18.214464,2.203435,0.995027,0
587738372741595203,116.48425654,17.73871958,2.029323,0.395714,1.313069,0.046297,18.665348,17.79468,17.504469,17.226027,17.120975,3.381555,1.584428,0
587738947730211430,116.57844979,17.4436459,1.377375,1,0.973486,0.461693,22.120363,21.384521,19.576637,18.696144,18.128893,3.934036,1.727509,0
587738947730276866,116.74528713,17.66954261,3.457526,0,2.010239,0.049646,18.614452,17.589579,17.186262,16.934563,16.795521,4.427151,2.180787,0
587738947730342208,116.92725076,17.68323226,2.576013,0.567888,1.895232,0.063748,18.908867,17.822199,17.429878,17.10605,16.963066,3.713357,1.758046,0
587738947730342236,116.7464935,17.69975922,2.400286E-4,0,6.209683E-5,0.906703,19.363543,19.028852,18.885183,18.999186,18.964136,1.72089,0.839379,1
587738947730407765,116.84452086,17.82343285,4.221041,0,2.303323,0.072236,19.158812,18.032969,17.45532,17.120489,16.952534,4.469145,2.277089,0
587741489817256155,126.29202044,16.36593069,0,1,6.811406E-3,8.90741E-4,18.883795,17.73279,17.286242,17.104851,17.043924,0.935956,0.48485,1
587741532766798156,126.15192334,16.62376787,0.560267,1,0.459141,0.244295,20.152878,19.717089,18.603109,18.06522,17.790077,2.360031,1.036291,0
587741532229992919,126.48587574,16.13830663,4.280575,1,1.951814,0.457423,25.762445,20.520416,18.742567,17.895708,17.390432,6.665364,2.995164,0
587741489817256201,126.18140284,16.2980463,2.966107,0.396524,1.537284,0.201419,20.985106,19.145336,17.96714,17.418354,16.989388,3.184213,1.599416,0
587741489817321806,126.41126355,16.38888348,2.339496,0.936916,1.527802,0.111478,20.460363,18.51206,17.397394,16.900223,16.472715,3.173108,1.41163,0
587741489817321807,126.40995754,16.39086659,1.629025,0.809706,1.033555,0.111633,19.978392,18.248829,17.356224,16.978905,16.689146,3.238356,1.404889,0
587741532766797908,126.21377257,16.43542031,5.446217,0.526004,2.402829,0.139347,19.6667,18.307816,17.508556,17.079109,16.820227,5.750569,2.511348,0
587741532766863738,126.39883491,16.59524667,1.210235,0.807376,0.969862,0.207537,22.518114,20.862967,19.612432,19.073959,18.814188,2.462723,1.102682,0
587741489817190823,126.20758965,16.19297765,1.204052,0.973309,0.845866,0.152013,20.373667,18.399916,17.310616,16.850468,16.492079,2.655108,1.221679,0
587741489817255994,126.16038343,16.33912635,0.010028,1,8.956525E-3,1.58121,19.711578,19.39953,19.238184,18.984537,19.12611,0.945047,0.481515,1
587741532229861763,126.23114823,16.17435655,4.121081,0.672688,2.415664,0.150851,20.293941,18.30159,17.134899,16.654873,16.261019,5.189142,2.304615,0
587741532229927157,126.33587845,16.08710566,2.529085,0.508538,1.635924,0.090594,20.06279,18.318348,17.45402,16.995007,16.648388,3.590897,1.646013,0
587741532229927346,126.32688673,16.18530163,0.01084,1,0.049726,3.73817E-4,24.826324,21.243345,20.252827,19.939156,19.641575,1.221072,0.623555,1
587741532766732532,126.00761514,16.44394377,2.82873,0.964765,1.797717,0.15302,19.763288,18.627237,17.729624,17.279625,16.973158,5.240666,2.171531,0
587741532766797926,126.15613005,16.62111214,2.703842,1,1.918137,0.089626,18.971722,17.073593,16.134716,15.715622,15.381229,5.02653,2.046377,0
587741532766798095,126.14433721,16.51060311,6.364815,0.063775,2.821772,0.121148,19.678068,18.431761,17.689747,17.311377,17.068327,4.747903,2.352177,0
587741532766863589,126.29162758,16.56723463,5.252141,0,2.274063,0.119529,19.397039,18.288473,17.817617,17.519667,17.442028,4.205875,2.225677,0
587741532766863688,126.39219699,16.54276923,5.656725,0.853245,2.975528,0.199607,20.467844,18.802,17.472435,16.944923,16.605427,6.427395,2.921226,0
587741489817125468,126.0242186,16.17025048,0,0,7.096317E-4,2.18258E-4,23.954119,21.593801,20.392698,19.982222,18.89208,0.939021,0.505579,1
587741489817190518,126.07588155,16.28372058,4.672472,0.629318,2.467894,0.06311,18.560814,17.661987,17.502739,17.318445,17.310972,4.876511,2.043449,0
587741489817256342,126.30580865,16.33247832,4.165565,0.765056,2.361723,0.15184,19.426935,17.775923,16.827135,16.384155,16.059137,5.123161,2.414766,0
587741489817321736,126.30190724,16.44219274,7.054016,0.182348,2.950641,0.094236,19.079012,17.980232,17.427473,17.127048,16.916172,6.587492,2.970833,0
587741489817321753,126.37241641,16.32747287,6.599737,0.407006,3.8801,0.089871,19.484283,17.568705,16.582579,16.108351,15.710708,5.938288,2.623992,0
587741489817321936,126.43383403,16.33567112,2.557232,1,1.245396,0.3257,22.493036,20.350466,18.64854,18.005079,17.671606,4.826131,2.144223,0
587741489817387417,126.52247837,16.50690658,5.604469,0.199574,2.549064,0.090162,19.573601,18.135,17.3981,16.964432,16.660295,5.220888,2.376904,0
