objid,ra,dec,devrad_r,fracdev_r,exprad_r,redshift,modelmag_u,modelmag_g,modelmag_r,modelmag_i,modelmag_z,petrorad_r,petroR50_r,snMedian,clean,h_m_2mass,j_m_2mass,k_m_2mass,classification,w1mag,w2mag,w3mag,w4mag
1237648722312822819,199.135486662146,0.662070246565491,0.007158226,0.8893991,0.009451277,0.0002541084,18.47645,16.69471,15.92661,15.57809,15.38784,1.354178,0.6928505,55.34995,1,13.756,14.336,13.645,6,13.614,13.618,11.989,8.601
1237648705120829511,199.133358517533,0.599369618624413,0.0008481483,0,0.07826022,0.0004451433,17.99841,16.47484,15.82445,15.51666,15.34626,1.421533,0.724814,58.64998,1,13.846,14.299,13.643,6,13.656,13.612,12.3,8.394
1237648722313085026,199.718201104082,0.840271355963839,3.960977E-05,0,0.0001627038,0.0002701714,19.32587,17.6904,17.00385,16.74424,16.57982,1.479364,0.7606595,44.09402,1,15.013,15.585,15.146,6,14.982,14.867,11.673,8.663
1237651754024042574,211.357062366653,2.30083416855764,2.809307E-06,0,0,0.0004442447,17.75593,16.61668,16.73938,16.89536,16.99863,1.238063,0.6344472,34.73875,1,16.427,16.46,16.038,6,16.36,16.281,12.385,8.807
1237673472030081178,71.4595781539504,9.88016183043882,0.009917174,0,0.01259274,0.0003902045,18.56271,16.50066,15.47871,15.01483,14.70415,1.077891,0.5651476,47.12336,1,12.846,13.473,12.714,6,12.61,12.709,11.465,8.518
1237673738862461247,110.060584118859,30.3654127202514,0.001588386,0.7958134,0.005494736,0.00022047,20.79564,18.84256,18.05432,17.76336,17.60435,1.508399,0.7561243,25.96935,1,16.026,16.464,15.513,6,15.351,15.314,11.889,8.514
1237648720667542468,119.902113016133,-0.533969084405924,0.1239996,1,0.1803558,0.0002007638,19.22728,17.99537,17.58682,17.44712,17.39309,1.552761,0.783469,31.80639,1,16.293,16.636,16.639,6,16.019,15.622,12.548,8.159
1237648720667214862,119.204956958073,-0.453502720538926,0,1,0,0.0002169328,19.50892,17.6496,16.9738,16.74642,16.62806,1.195053,0.6090289,40.0177,1,15.201,15.567,15.176,6,14.963,15.1,12.218,8.714
1237646798136673389,119.25550543627,0.856881191896507,0.005422602,0,0.003072386,0.0002588731,21.19217,18.67991,17.61636,17.22005,16.98417,1.207954,0.6290842,29.27279,1,15.113,15.86,15.106,6,15.186,15.311,12.156,8.148
1237671125364703734,120.00538061922,8.67943142141593,0.01932624,0,0.03799535,0.0002206208,20.44493,18.82734,18.18749,17.91973,17.73994,1.537033,0.7893315,25.31973,1,16.247,16.782,15.922,6,16.382,15.576,12.159,7.986
1237667729656185070,119.77359251128,8.93794713940372,0.008103164,0,0.01401692,0.0002524361,18.49209,17.48169,17.21912,17.12811,17.1281,1.428855,0.7094051,34.32668,1,16.127,16.372,16.078,6,15.726,15.397,12.199,8.449
1237667536383377588,120.304622447819,10.0153463980419,0.00988681,1,0.007188448,0.0003023178,18.17179,16.94092,16.49891,16.3347,16.28872,1.153294,0.5889229,46.51431,1,14.999,15.466,14.869,6,14.924,15.135,11.885,8.368
1237667537456988272,119.692442729205,10.6078076775077,0.01849845,0.990382,0.01920872,0.0002226766,19.18237,17.84791,17.31041,17.11156,17.01827,1.144638,0.587072,55.65399,1,15.474,16.137,15.49,6,15.407,15.331,11.638,8.479
1237667537456922869,119.536726918848,10.7293277681855,0.01306569,0,0.01539052,0.0002985967,17.03018,16.93722,17.06796,17.1805,17.26376,1.139386,0.5739732,36.014,1,16.265,16.447,15.974,6,16.422,15.965,12.151,8.517
1237667537456857220,119.392402624096,10.5598920242846,0,1,9.931932E-05,0.0003078307,18.41697,16.93004,16.42355,16.25358,16.19326,1.128653,0.5819831,50.39397,1,14.87,15.36,15.004,6,14.623,14.913,11.65,8.49
1237667109037343023,126.200453146362,18.7933793905967,2.130224,1,2.309477,0.0002736112,18.49671,17.01275,16.33183,16.00024,15.76403,7.067244,2.52418,34.04461,1,14.964,15.432,14.653,3,13.476,13.375,10.25,7.689
1237660412115026027,142.449279617581,7.38157306391803,0.009827074,0.5784269,0.01019209,0.0003845471,18.23753,16.90167,16.34116,16.12411,16.00994,1.108696,0.558005,63.93035,1,14.625,15.102,14.696,6,14.501,14.651,12.184,8.558
1237654600492777512,157.196222329751,3.60587074688873,0.00989103,0,0.01231026,0.0007090839,18.30893,17.32697,17.02818,16.91028,16.87236,1.488593,0.7578629,27.21135,1,15.748,16.227,15.755,6,15.22,15.176,11.809,8.219
1237661951323471879,173.576646255936,13.3882954182321,0.006081677,1,0.04231868,0.0002570831,16.94822,15.65855,15.66435,15.70937,15.69854,1.697985,0.8373033,69.40723,1,14.945,15.298,14.851,6,14.78,14.944,11.811,8.459
1237673738322247995,102.182714798543,27.0314222841186,6.748352E-05,1,0.0001014217,0.0002768256,17.60937,15.16728,13.96577,13.42451,13.11098,1.71445,0.8598166,53.14141,1,11.333,11.955,11.179,6,11.098,11.076,10.931,7.99
1237667109570478229,118.148821410239,15.1358190850678,1.670309E-06,0,0,0.0002136585,20.82491,18.08923,17.13108,16.78801,16.6483,1.2,0.6252446,38.34004,1,14.842,15.621,14.911,6,14.158,14.009,12.024,8.581
1237664874039738871,117.207209547645,15.5397293961049,0.06381602,0,0.07465068,0.0002393012,21.54968,18.46084,17.20458,16.71048,16.35172,1.22486,0.6262224,38.0887,1,14.614,15.322,14.649,6,14.084,14.038,12.03,8.223
1237670359790190711,127.601838265928,14.5089583408165,0.01766874,1,0.02131098,0.0002852425,18.72941,17.1987,16.62591,16.42875,16.3532,1.044392,0.5340531,50.38271,1,15.166,15.393,14.964,6,14.851,14.911,11.859,8.077
1237667430088048658,127.719535928827,15.4938173907259,0.001000366,1,0.002774179,0.001005448,16.80161,15.65126,15.17335,14.9947,14.92103,1.021726,0.5200955,90.14954,1,13.654,14.079,13.592,6,13.52,13.585,11.844,7.973
1237667430088310837,128.308151576811,15.7683396473914,0.0139128,0,0.01744547,0.0006947557,18.78648,17.42619,16.84596,16.60957,16.48485,1.125688,0.5639794,60.02522,1,15.042,15.443,14.88,6,14.643,15.092,11.162,7.449
1237661136880599105,139.841144353153,31.8251424187278,0.03533404,0.04109954,0.03708853,0.0006657389,17.93763,16.89317,16.44896,16.25081,16.17774,1.455615,0.7302288,49.12629,1,14.725,15.288,14.825,6,14.667,14.599,11.971,8.439
