objid,ra,dec,devrad_r,fracdev_r,exprad_r,redshift,modelmag_u,modelmag_g,modelmag_r,modelmag_i,modelmag_z,petrorad_r,petroR50_r,theta,effective50_radius,Surface_area_logged,veldisp,vdisp_median,vdisp_median1,Ports_passive_mass,GranadaFSPS_mass,WiscBC03_mass,Wiscm11_mass,Flux_OIII_5006,Flux_Hb_4861,Flux_NII_6583,Flux_Ha_6562,Flux_SII_6716,Flux_SII_6730,Flux_OI_6300,snMedian,bpt,clean
1237655107293413536,143.164432928161,51.2618216439773,0.7037085,0.939265,0.7863332,0.0472701,18.98836,17.85785,17.48106,17.20857,17.02342,2.236998,1.102402,0.7087267,0.7411891,0.237007786340447,84.38815,209.859933853149,121.416864395142,9.66,9.43090948280838,9.58476756748132,9.62406595074572,1234.445,483.7947,458.8526,1476.945,246.7299,222.4784,85.22153,23.02985,Composite,1
1237667113871212677,143.687256031064,26.6745127599909,3.297581,0.04676884,1.923153,0.03226687,18.60576,17.43154,16.83299,16.51781,16.27736,3.747226,1.802295,1.987433,1.418773,0.800975865054124,65.67948,105.916228294373,90.8204889297485,9.57,9.75343772482815,9.59174249218631,9.56942030607024,335.3281,281.5416,417.2575,995.4354,196.8052,151.4782,34.07792,20.08056,Composite,1
1237674462028497009,144.58978280735,6.525239685526,3.443846,0.7899122,2.235769,0.0223555,18.81209,17.26356,16.5861,16.23993,16.02165,5.712035,2.506076,3.190044,1.577774,0.89323933322311,44.32688,82.8788876533508,67.7041947841644,9.34,9.26173438620412,9.49976376239647,9.47777231913642,182.7175,70.91998,73.71999,204.6065,50.16956,35.85952,15.00112,15.80755,Composite,0
1237658422474309747,146.77383757521,5.03330348033029,1.73871,0.6749278,1.258507,0.02420315,18.7157,17.39003,16.85037,16.57359,16.37258,3.529744,1.638837,1.582609,0.8474405,0.353368194085521,57.82919,125.727128982544,97.5539970397949,9.29,9.18580752990333,9.23690010678547,9.24960433108936,174.3472,92.22195,115.5755,349.1066,91.80868,61.91697,23.4216,17.71464,Composite,1
1237661383310049409,147.583654435996,36.0796383834005,16.26584,0.03719946,5.743339,0.02179001,18.32907,17.12173,16.63645,16.38045,16.17768,12.39658,5.69089,6.13477,2.957463,1.4389883599615,23.01324,98.015456199646,77.5377774238586,9.27,9.1093431625692,9.29052635870175,9.2788007469062,11.98719,15.42193,19.08173,39.60223,17.34724,9.227769,3.999781,7.104084,Composite,1
1237654604246680007,147.94838204724,3.12278905726155,23.62769,0.07987749,6.350259,0.02069945,20.22945,18.01839,17.55326,17.34798,17.19967,2.970099,3.382856,7.730337,3.540144,1.59519162993064,621.2456,191.293849945068,171.2926197052,8.82,8.53199098229789,8.96044648313546,8.83529098817598,11.86888,10.71476,9.65153,21.62153,11.75111,6.568765,3.106909,3.794431,Composite,1
1237653665258406080,149.040193722814,2.24675682893792,2.26084,0.4024469,1.656068,0.03205347,19.65662,18.03312,17.29672,16.91097,16.61209,3.392306,1.575067,1.899457,1.347001,0.755885821202024,57.65176,91.1446309089661,73.2961225509644,9.4,9.50319180877594,9.47473987058038,9.50240587093867,27.64493,20.90494,56.33518,67.27041,19.88675,16.17225,13.12859,17.15622,Composite,1
1237651752386560083,150.035008715,0.984795552704032,0.9815055,1,0.7627422,0.03182067,17.42052,16.46476,15.98778,15.71779,15.53756,2.218656,1.067686,0.9815055,0.6909804,0.176081207824068,71.15697,103.523926734924,94.1427326202393,9.9,9.90627058314916,9.84523140557576,9.71332940504362,2870.643,1781.995,3551.235,5830.065,895.4753,849.7651,250.4302,38.53228,Composite,1
1237667430098206861,151.097221480098,23.2231683473662,1.121417,0.9824512,0.8094881,0.02658953,19.46761,18.06737,17.40345,17.07337,16.8501,2.664735,1.212447,1.115943,0.6564719,0.131582075115198,33.97945,92.172372341156,67.5937116146088,9.15,9.1466991218277,9.19592211046256,9.21635919136679,62.80205,51.54299,46.02612,119.3713,26.5207,21.67568,16.60588,19.64825,Star Forming,1
1237667430098927702,152.763923332031,23.5798012395981,3.610918,0,2.592813,0.02226022,19.10036,17.51825,16.87354,16.56783,16.33757,3.962324,1.810931,2.592813,1.276922,0.709478593871656,45.88379,89.0760374069214,67.8515875339508,9.21,9.11318496835973,9.29459776043223,9.30735940685554,51.97432,45.71131,43.12534,103.3168,38.80757,27.3841,5.560077,24.72815,Composite,1
1237661871319744631,154.446206975089,39.5355013783479,1.250489,0.8720955,0.9653209,0.05402449,18.96881,17.83631,17.50425,17.29998,17.16421,2.848284,1.322484,1.214015,1.451037,0.820506713802581,93.25938,136.771488189697,121.014504432678,9.72,9.34737514987789,9.33589209326601,9.34854034971795,232.3507,69.36028,39.30409,213.3889,40.24421,26.58911,26.3917,15.34495,Star Forming,1
1237651538169888964,155.454715908002,63.8685061337556,3.964715,0.6802732,2.373011,0.02108612,18.9893,17.6153,17.00545,16.70066,16.46024,4.466434,1.978244,3.455805,1.612165,0.911968873728358,39.35423,86.6863226890564,67.1947848796844,9.04,9.00676525305648,9.34032070968533,9.28758011217724,308.4251,83.50822,51.01537,278.1424,47.98984,39.82856,11.81074,18.48477,Star Forming,0
1237658424088985744,155.982268016303,6.91465964801086,2.538574,1,1.56668,0.03345079,20.12746,18.4321,17.63922,17.24325,16.98056,4.276979,1.801351,2.538574,1.878711,1.04486951144789,75.58264,98.3498764038086,75.7217216491699,9.37,9.65520518667255,9.45802907182951,9.48310508733266,53.46236,50.63456,28.26976,54.28716,15.40297,11.7899,17.01784,8.811135,Composite,1
1237670966466642107,157.13887950992,18.7538804840231,1.598686,1,1.076227,0.02737827,18.95884,17.53807,16.89482,16.56585,16.35093,3.783804,1.662898,1.598686,0.968351,0.469215398937829,43.99411,84.4157338142395,69.4969856739044,9.38,9.29755037656596,9.48135967773123,9.48677732903889,55.31147,49.68878,37.08559,98.58904,24.90147,18.09873,3.57711,23.83166,Star Forming,1
1237661070863433869,160.332531297129,14.6114320504422,0.9692227,0.5811043,0.9361271,0.04943329,19.63862,18.34736,17.8623,17.44829,17.24477,2.104374,0.9884623,0.9553591,1.04484,0.5352493452484,64.08305,116.885499954224,102.853484153748,9.6,9.82887905494863,9.71878520237806,9.78279187031148,2911.076,788.2537,668.5641,2629.924,261.7798,222.8124,40.77538,17.0132,Composite,1
1237667430639468688,161.686922521955,25.9172308581398,9.390541,0,4.193281,0.02026709,18.40613,17.1348,16.69453,16.5011,16.34371,7.228423,3.690097,4.193281,1.880222,1.04556785989836,19.41794,161.602325439453,188.785572052002,9.18,8.86939311955451,9.45735327681905,9.12920034560375,42.53003,44.22913,38.35221,107.1149,28.85164,21.54857,8.363749,9.764567,Star Forming,0
1237665017922060475,161.992044802954,33.9269178259117,29.67113,0.2583384,9.256207,0.02282471,18.5626,17.18189,16.76869,16.5077,16.39075,19.31239,8.655662,14.53017,7.337355,2.22822880581857,67.03883,76.4832592010498,66.6700124740601,9.37,9.10393484877427,9.38620001752861,9.26735387541703,27.0608,18.08629,14.11932,58.68001,19.46239,13.25882,4.919817,5.249257,Star Forming,1
1237668585967059181,162.525301094182,16.5147811991274,0.6399633,1,0.460222,0.05238875,18.95591,18.05923,17.7314,17.40962,17.24855,2.375374,1.026337,0.6399633,0.7417486,0.237663289220138,65.51014,110.030708312988,123.859858512878,9.64,9.53766272207517,9.52382524617133,9.54420686888625,3251.047,939.394,518.1296,2686.795,250.7168,227.7194,81.88519,19.0393,Star Forming,1
1237664131556180177,163.979703713885,13.938056990886,1.373231,0.6856289,1.18276,0.02378983,18.87646,17.40077,16.80354,16.49434,16.24653,2.905019,1.370164,1.313352,0.6912518,0.176422350801855,41.49745,120.296149253845,70.0003826618195,9.29,9.14144741304623,9.46899907756597,9.45046318887762,63.67832,65.08347,116.8801,236.5132,104.3468,71.87775,2920.884,22.51239,Composite,1
1237657628449964123,165.112669323422,49.9625349819071,10.53523,0.02365201,4.083549,0.02445887,19.93821,18.31101,17.67262,17.39761,17.27454,6.579423,3.118625,4.236144,2.292296,1.21769133068945,0,76.1731648445129,64.6028137207031,8.93,8.82771892437333,9.24635833308639,9.10820677509764,11.30541,20.49704,19.46708,41.70008,15.34199,11.66348,0,6.685482,Star Forming,0
1237661950783127718,165.582302546181,12.5186481550061,1.485635,0.7751611,1.211275,0.02703829,18.72193,17.29843,16.65725,16.32804,16.07951,3.417353,1.604352,1.423948,0.851799,0.357824045558436,43.73156,81.0980153083801,67.8801190853119,9.46,9.48445955304924,9.54355576145463,9.54686424782267,114.5763,70.24182,102.6541,210.195,43.11067,33.70309,13.13268,21.78523,Composite,1
1237658492812591266,171.632390859666,9.92096529708044,15.56785,0.3300939,5.392889,0.03133311,18.67558,17.48101,17.04722,16.8188,16.68397,13.83902,5.616791,8.751581,6.066717,2.06305720816228,107.4111,237.71463394165,213.893718719482,9.51,9.18733943857052,9.33347058348591,9.34817901332281,26.33925,19.26784,13.11775,46.20124,17.39684,10.36808,5.93789,4.976898,Star Forming,1
