0.000	0.000
0.000	0.003
250.000	0.003
500.000	0.003
750.000	0.002
1000.000	0.002
1250.000	0.003
1500.000	0.002
1750.000	0.002
2000.000	0.002
2250.000	0.003
2500.000	0.002
2750.000	0.002
3000.000	0.002
3250.000	0.003
3500.000	0.001
3750.000	0.002
4000.000	0.000
4250.000	0.001
4500.000	0.002
4750.000	0.002
5000.000	0.001
5250.000	0.001
5500.000	0.001
5750.000	0.001
6000.000	0.001
6250.000	0.001
6500.000	0.001
6750.000	0.001
7000.000	0.001
7250.000	0.001
7500.000	0.001
7750.000	0.001
8000.000	0.001
8250.000	0.001
8500.000	0.000
8750.000	0.001
9000.000	0.001
9250.000	0.000
9500.000	0.000
9750.000	-0.000
10000.000	0.000
10250.000	0.000
10500.000	-0.000
10750.000	0.000
11000.000	0.000
11250.000	-0.000
11500.000	-0.000
11750.000	-0.000
12000.000	-0.000
12250.000	-0.000
12500.000	-0.000
12750.000	-0.000
13000.000	0.001
13250.000	-0.000
13500.000	-0.001
13750.000	-0.001
14000.000	-0.001
14250.000	-0.001
14500.000	-0.001
14750.000	-0.001
15000.000	-0.001
15250.000	-0.001
15500.000	-0.001
15750.000	-0.001
16000.000	-0.001
16250.000	-0.001
16500.000	-0.001
16750.000	-0.001
17000.000	-0.002
17250.000	-0.001
17500.000	-0.002
17750.000	-0.001
18000.000	-0.001
18250.000	-0.001
18500.000	-0.001
18750.000	-0.002
19000.000	-0.002
19250.000	-0.001
19500.000	-0.001
19750.000	-0.002
20000.000	-0.002
20250.000	-0.001
20500.000	-0.001
20750.000	-0.001
21000.000	-0.001
21250.000	-0.001
21500.000	-0.001
21750.000	-0.000
22000.000	0.000
22250.000	0.001
22500.000	0.003
22750.000	0.004
23000.000	0.005
23250.000	0.005
23500.000	0.008
23750.000	0.013
24000.000	0.021
24250.000	0.030
24500.000	0.042
24750.000	0.054
25000.000	0.066
25250.000	0.077
25500.000	0.086
25750.000	0.096
26000.000	0.105
26250.000	0.114
26500.000	0.121
26750.000	0.127
27000.000	0.131
27250.000	0.132
27500.000	0.133
27750.000	0.133
28000.000	0.132
28250.000	0.132
28500.000	0.133
28750.000	0.133
29000.000	0.133
29250.000	0.133
29500.000	0.134
29750.000	0.136
30000.000	0.138
30250.000	0.141
30500.000	0.143
30750.000	0.146
31000.000	0.146
31250.000	0.150
31500.000	0.153
31750.000	0.153
32000.000	0.153
32250.000	0.152
32500.000	0.152
32750.000	0.151
33000.000	0.148
33250.000	0.146
33500.000	0.142
33750.000	0.138
34000.000	0.133
34250.000	0.128
34500.000	0.123
34750.000	0.122
35000.000	0.121
35250.000	0.120
35500.000	0.119
35750.000	0.119
36000.000	0.120
36250.000	0.122
36500.000	0.125
36750.000	0.129
37000.000	0.135
37250.000	0.141
37500.000	0.149
37750.000	0.156
38000.000	0.164
38250.000	0.173
38500.000	0.182
38750.000	0.189
39000.000	0.196
39250.000	0.208
39500.000	0.227
39750.000	0.228
40000.000	0.245
40250.000	0.268
40500.000	0.291
40750.000	0.319
41000.000	0.350
41250.000	0.377
41500.000	0.400
41750.000	0.421
42000.000	0.438
42250.000	0.454
42500.000	0.467
42750.000	0.474
43000.000	0.481
43250.000	0.486
43500.000	0.485
43750.000	0.479
44000.000	0.470
44250.000	0.455
44500.000	0.433
44750.000	0.406
45000.000	0.372
45250.000	0.335
45500.000	0.296
45750.000	0.260
46000.000	0.226
46250.000	0.195
46500.000	0.165
46750.000	0.138
47000.000	0.114
47250.000	0.093
47500.000	0.074
47750.000	0.057
48000.000	0.041
48250.000	0.027
48500.000	0.013
48750.000	0.003
49000.000	-0.003
49250.000	-0.006
49500.000	-0.007
49750.000	-0.006
50000.000	-0.006
50250.000	-0.005
50500.000	-0.004
50750.000	-0.004
51000.000	-0.003
51250.000	-0.003
51500.000	-0.002
51750.000	-0.002
52000.000	-0.002
52250.000	-0.001
52500.000	-0.001
52750.000	-0.001
53000.000	-0.001
53250.000	-0.000
53500.000	-0.001
53750.000	-0.001
54000.000	-0.001
54250.000	-0.001
54500.000	-0.000
54750.000	-0.001
55000.000	-0.001
55250.000	-0.000
55500.000	-0.000
55750.000	-0.000
56000.000	-0.000
56250.000	0.000
56500.000	0.000
56750.000	-0.000
57000.000	0.000
57250.000	0.000
57500.000	-0.000
57750.000	-0.000
58000.000	0.000
58250.000	0.000
58500.000	-0.000
58750.000	0.000
59000.000	0.000
59250.000	0.000
59500.000	0.000
59750.000	0.001
60000.000	0.001
60250.000	0.000
60500.000	0.000
60750.000	0.000
61000.000	0.001
61250.000	0.001
61500.000	0.000
61750.000	0.001
62000.000	0.000
62250.000	-0.000
62500.000	0.001
62750.000	0.000
63000.000	-0.000
63250.000	0.001
63500.000	0.000
63750.000	0.001
64000.000	0.001
64250.000	0.000
64500.000	0.000
64750.000	0.001
65000.000	0.001
65250.000	-0.000
65500.000	0.000
65750.000	-0.000
66000.000	-0.000
66250.000	-0.000
66500.000	-0.000
66750.000	0.000
67000.000	-0.001
67250.000	0.000
67500.000	0.000
67750.000	0.000
68000.000	0.000
68250.000	-0.000
68500.000	-0.001
68750.000	0.000
69000.000	0.000
69250.000	0.000
69500.000	0.000
69750.000	-0.000
70000.000	-0.000
70250.000	-0.000
70500.000	-0.000
70750.000	0.000
71000.000	0.000
71250.000	0.001
71500.000	-0.000
71750.000	-0.000
72000.000	-0.000
72250.000	-0.000
72500.000	-0.000
72750.000	-0.001
73000.000	0.000
73250.000	-0.000
73500.000	-0.000
73750.000	0.000
74000.000	-0.000
74250.000	-0.000
74500.000	0.000
