type,Mstar,hard_hm_lolim,var_intra_index_w,hard_ms_lolim,hard_hm,var_intra_index_b,extent_flag,flux_aper_hilim_b,flux_aper_lolim_w,flux_aper_hilim_w,flux_aper_lolim_b,sat_src_flag,conf_flag,significance,hard_hm_hilim,ra,hard_ms,err_ellipse_r0,dec,name,var_inter_index_b,hard_ms_hilim,flux_aper_b,var_inter_index_w,flux_aper_w
EsS0s,2700000000000.0,0.18496599999999999,-32768,-0.15326600000000001,0.194939,0,True,9.3240900000000009e-13,nan,nan,9.0909300000000003e-13,False,True,77.808499999999995,0.204848,14.45372551,-0.144146,0.39781,30.352446,CXO J005748.8+302108,-32768,-0.135016,9.206929999999999e-13,-32768,nan
EsS0s,406000000000.0,0.0295126,-32768,-0.64647399999999999,0.180288,0,False,2.89712e-14,nan,nan,1.7644499999999999e-14,False,True,3.2728000000000002,0.33546700000000002,28.252077060000001,-0.47315699999999999,0.76797199999999999,-13.73865305,CXO J015300.5-134419,-32768,-0.29170400000000002,2.3285699999999999e-14,-32768,nan
EsS0s,244000000000.0,0.55008000000000001,-32768,-0.070744600000000005,0.58887199999999995,0,False,2.0721599999999999e-12,nan,nan,1.8370899999999998e-12,False,False,16.4146,0.62676200000000004,40.270045450000005,-0.0425146,0.42836600000000002,-8.2557409400000026,CXO J024104.8-081520,-32768,-0.014543,1.95404e-12,-32768,nan
EsS0s,550000000000.0,-0.056936399999999998,-32768,-0.68791100000000005,-0.037073200000000001,0,True,5.5194299999999998e-14,nan,nan,5.0751700000000001e-14,False,True,24.454499999999999,-0.0171697,74.234639869999995,-0.66100800000000004,0.41533999999999999,-4.8657737399999998,CXO J045656.3-045156,-32768,-0.63298900000000002,5.29618e-14,-32768,nan
EsS0s,877000000000.0,-0.049321400000000001,-32768,-0.56837300000000002,-0.013171,0,True,4.3517599999999997e-14,nan,nan,3.73718e-14,False,False,13.3573,0.0240819,167.49017506999999,-0.51735399999999998,0.46401999999999999,-37.539154740000001,CXO J110957.6-373220,-32768,-0.46660800000000002,4.0429200000000003e-14,-32768,nan
EsS0s,2210000000000.0,-0.058475399999999997,-32768,-0.43857299999999999,-0.0039936299999999997,0,True,6.0593e-14,nan,nan,5.0437800000000002e-14,False,False,13.332000000000001,0.051068799999999998,195.03394141000001,-0.38210100000000002,0.51349,27.97693048,CXO J130008.1+275836,-32768,-0.32514199999999999,5.5489899999999998e-14,-32768,nan
EsS0s,887000000000.0,-0.123345,-32768,-0.69479599999999997,-0.11389199999999999,0,True,1.9522299999999999e-13,nan,nan,1.85905e-13,False,True,43.323500000000003,-0.104445,350.06054885999998,-0.67958099999999999,0.44151699999999999,8.2062459699999977,CXO J232014.5+081222,-32768,-0.66401500000000002,1.9054100000000001e-13,-32768,nan
EsS0s,855000000000.0,0.0040206900000000004,-32768,-0.66788999999999998,0.0234754,0,True,1.71131e-13,nan,nan,1.56102e-13,False,True,21.9572,0.043125299999999998,350.17711098000001,-0.64120500000000002,0.55083199999999999,8.2169699099999995,CXO J232042.5+081301,-32768,-0.61395299999999997,1.63579e-13,-32768,nan
EsS0s,1280000000000.0,0.084667900000000004,-32768,-0.50319400000000003,0.096178899999999998,0,True,6.7095500000000004e-13,nan,nan,6.4647399999999996e-13,False,True,53.269799999999996,0.107921,204.16264684999996,-0.49028699999999997,0.400003,-33.965819359999998,CXO J133639.0-335756,-32768,-0.477327,6.5865300000000004e-13,-32768,nan
EsS0s,3580000000.0,-0.218468,-32768,-0.23793900000000001,-0.039697400000000001,0,False,4.9194400000000001e-15,nan,nan,2.9258800000000001e-15,False,False,3.9843199999999999,0.13785500000000001,187.37628681000004,-0.049914199999999999,1.4138500000000001,7.9927413999999999,CXO J122930.3+075933,-32768,0.14045299999999999,3.8538400000000003e-15,-32768,nan
EsS0s,102000000000.0,-0.0165778,-32768,-0.68542999999999998,0.020308,0,False,2.9762599999999998e-13,nan,nan,2.5537e-13,False,False,13.4421,0.058011100000000003,130.90871630999999,-0.63900100000000004,0.64419300000000002,50.205658419999999,CXO J084338.0+501220,-32768,-0.59172499999999995,2.7639199999999999e-13,-32768,nan
EsS0s,64100000000.0,0.053886000000000003,-32768,-0.29849900000000001,0.13262399999999999,0,True,2.5919300000000001e-14,nan,nan,2.09254e-14,False,True,9.3784100000000006,0.21163699999999999,151.30805136000001,-0.22332399999999999,0.42766999999999999,-7.7186104700000007,CXO J100513.9-074307,-32768,-0.14636099999999999,2.3434899999999999e-14,-32768,nan
EsS0s,506000000000.0,0.14443900000000001,-32768,-0.00098911899999999989,0.15206800000000001,0,True,1.58286e-12,nan,nan,1.5556800000000001e-12,False,True,101.715,0.15984100000000001,189.99761308999999,0.00682651,0.28409000000000001,-11.62311381,CXO J123959.4-113722,7,0.014641599999999999,1.5692e-12,-32768,nan
EsS0s,85900000000.0,0.038916899999999997,-32768,-0.67165299999999994,0.199654,1,False,5.0204600000000003e-15,nan,nan,2.2328600000000002e-15,False,True,3.1265700000000001,0.36379,20.027877709999995,-0.50282899999999997,0.83546699999999996,3.4153986199999995,CXO J012006.6+032455,-32768,-0.32204700000000003,3.52549e-15,-32768,nan
EsS0s,102000000000.0,0.0060065800000000001,-32768,-0.37909399999999999,0.067191000000000001,2,True,8.4489000000000005e-15,nan,nan,7.2353400000000005e-15,False,True,6.9333799999999997,0.127496,32.087936840174059,-0.29058499999999998,0.21607100000000001,10.994836376401487,CXO J020821.1+105941,0,-0.198211,7.8390699999999998e-15,-32768,nan
