hard_hm_lolim,var_intra_index_w,hard_ms_lolim,hard_hm,var_intra_index_b,extent_flag,flux_aper_hilim_b,flux_aper_lolim_w,flux_aper_hilim_w,flux_aper_lolim_b,sat_src_flag,conf_flag,significance,hard_hm_hilim,ra,hard_ms,err_ellipse_r0,dec,name,var_inter_index_b,hard_ms_hilim,flux_aper_b,var_inter_index_w,flux_aper_w
-0.15944900000000001,-32768,-0.12425600000000001,0.020880800000000001,0,False,7.1404800000000004e-15,nan,nan,4.6165799999999998e-15,False,True,3.5222500000000001,0.197045,14.447865,0.082099699999999998,0.59601000000000004,30.356997,CXO J005747.4+302125,-32768,0.29545700000000003,5.8770699999999999e-15,-32768,nan
0.020098899999999999,-32768,-0.45756599999999997,0.105349,0,True,1.21182e-14,nan,nan,9.4515300000000008e-15,False,True,7.2422700000000004,0.190104,14.449831,-0.36118899999999998,0.44729000000000002,30.354861,CXO J005747.9+302117,-32768,-0.26205299999999998,1.07782e-14,-32768,nan
-0.36704700000000001,-32768,0.047672399999999997,-0.262706,1,True,8.0796099999999996e-15,nan,nan,6.1543799999999996e-15,False,True,7.5644,-0.15676799999999999,14.450265999999999,0.16811100000000001,0.44561000000000001,30.355383,CXO J005748.0+302119,-32768,0.290018,7.11216e-15,-32768,nan
-0.018142499999999999,-32768,-0.31652000000000002,0.051990399999999999,0,True,1.32408e-14,nan,nan,1.07838e-14,False,True,9.6458700000000004,0.122958,14.451335,-0.23830799999999999,0.65549000000000002,30.354438999999999,CXO J005748.3+302115,-32768,-0.15982199999999999,1.2006100000000001e-14,-32768,nan
-0.0046784599999999997,-32768,-0.91072200000000003,0.058197699999999998,0,False,2.9908500000000001e-15,nan,nan,1.7352000000000001e-15,False,False,4.7196199999999999,0.132191,14.45174637,-0.83223800000000003,0.47543999999999997,30.35231108,CXO J005748.4+302108,-32768,-0.74492400000000003,2.3603299999999998e-15,-32768,nan
-0.037969000000000003,-32768,-0.73668999999999996,0.044459600000000002,0,False,5.1470199999999998e-15,nan,nan,3.5573599999999999e-15,False,True,5.7284699999999997,0.129717,14.451805,-0.62907800000000003,0.43819000000000002,30.351123000000001,CXO J005748.4+302104,-32768,-0.51781500000000003,4.3481999999999999e-15,-32768,nan
-0.166299,-32768,-0.42588500000000001,-0.115761,0,True,1.5587499999999999e-14,nan,nan,1.3128e-14,False,True,12.037000000000001,-0.065615099999999996,14.452181420000001,-0.36142099999999999,0.41481000000000001,30.353610440000001,CXO J005748.5+302113,-32768,-0.29461700000000002,1.4351500000000001e-14,-32768,nan
-0.069296399999999994,-32768,-0.77338099999999999,0.037150000000000002,0,False,4.4681099999999999e-15,nan,nan,2.9244399999999998e-15,False,True,3.9114,0.150399,14.45283467,-0.62846800000000003,0.48659000000000002,30.350552489999998,CXO J005748.6+302101,-32768,-0.47215600000000002,3.6990700000000004e-15,-32768,nan
0.18496599999999999,-32768,-0.15326600000000001,0.194939,0,True,9.3240900000000009e-13,nan,nan,9.0909300000000003e-13,False,True,77.808499999999995,0.204848,14.45372551,-0.144146,0.39781,30.352446,CXO J005748.8+302108,-32768,-0.135016,9.206929999999999e-13,-32768,nan
-0.088293399999999994,-32768,-0.69971700000000003,-0.029026900000000001,0,False,8.9809700000000005e-15,nan,nan,6.9338200000000003e-15,False,True,8.1681699999999999,0.030759499999999999,14.45437091,-0.62137500000000001,0.43552999999999997,30.35433338,CXO J005749.0+302115,-32768,-0.54070799999999997,7.9522600000000004e-15,-32768,nan
-0.026973500000000001,-32768,-0.90877399999999997,0.023237299999999999,0,False,5.1091199999999997e-15,nan,nan,3.62133e-15,False,True,6.3497000000000003,0.076533000000000004,14.455537209999999,-0.84024600000000005,0.48226999999999998,30.353265140000001,CXO J005749.3+302111,-32768,-0.76285099999999995,4.3614899999999998e-15,-32768,nan
-0.58506400000000003,-32768,-0.0040486799999999998,-0.39156099999999999,0,False,1.72555e-15,nan,nan,9.0601900000000006e-16,False,False,3.48752,-0.19336700000000001,14.45764731,0.248664,0.57150000000000001,30.35545218,CXO J005749.8+302119,-32768,0.50071900000000003,1.3169999999999999e-15,-32768,nan
-0.249085,-32768,-0.320909,-0.075373099999999998,0,False,1.7301299999999999e-14,nan,nan,1.01582e-14,False,False,3.7557900000000002,0.099448099999999998,28.24741921,-0.121098,0.68306199999999995,-13.732620329999998,CXO J015259.3-134357,-32768,0.084257499999999999,1.37444e-14,-32768,nan
-0.15785399999999999,-32768,-0.36534899999999998,-0.037875199999999998,0,True,3.5324200000000002e-14,nan,nan,2.4694999999999999e-14,False,True,5.2614900000000002,0.083751599999999995,28.2514152,-0.218274,0.59393399999999996,-13.73739234,CXO J015300.3-134414,-32768,-0.068096299999999998,2.9982899999999997e-14,-32768,nan
0.0295126,-32768,-0.64647399999999999,0.180288,0,False,2.89712e-14,nan,nan,1.7644499999999999e-14,False,True,3.2728000000000002,0.33546700000000002,28.252077060000001,-0.47315699999999999,0.76797199999999999,-13.73865305,CXO J015300.5-134419,-32768,-0.29170400000000002,2.3285699999999999e-14,-32768,nan
0.22948099999999999,-32768,-0.27169900000000002,0.39574900000000002,0,False,2.3894200000000001e-14,nan,nan,1.4802499999999999e-14,False,False,3.83528,0.55657599999999996,28.254628269999998,-0.12271,0.60196799999999995,-13.73872385,CXO J015301.1-134419,-32768,0.029831099999999999,1.9358599999999999e-14,-32768,nan
