Name,RA,Dec,V,V_err,g,g_err,r,r_err,i,i_err
NGC0821_GC59  ,32.071154,10.941958,1860,12,22.868,0.019,22.122,0.019,21.902,0.013
NGC0821_GC60  ,32.098813,11.010508,1636,20,22.932,0.069,22.356,0.053,22.077,0.042
NGC0821_GC61  ,32.0921,11.010975,1660,12,22.91,0.074,22.266,0.061,22.096,0.051
NGC1400_GC70 ,54.94065,-18.735286,387,28,22.929,0.006,22.443,0.006,22.206,0.008
NGC1400_GC71 ,54.903121,-18.704464,974,37,23.107,0.008,22.55,0.006,22.319,0.007
NGC1400_GC72 ,54.912471,-18.786317,782,18,23.196,0.008,22.636,0.011,22.416,0.009
