Name,RA,Dec,V,V_err,g,g_err,r,r_err,i,i_err
NGC1407_GC106 ,55.119458,-18.442253,1919,18,23.867,0.01,23.336,0.008,23.072,0.012
NGC1407_GC107 ,55.025596,-18.505414,1992,27,23.493,0.008,22.916,0.008,22.659,0.006
NGC1407_GC108 ,55.024767,-18.600789,2278,6,22.514,0.008,21.777,0.006,21.428,0.006
NGC1407_GC109 ,55.0658,-18.602594,1824,12,22.611,0.013,22.049,0.012,21.785,0.015
NGC1407_GC110 ,55.101688,-18.587764,1807,14,23.221,0.007,22.627,0.007,22.358,0.007
NGC1407_GC111 ,55.036763,-18.585011,1241,16,23.247,0.009,22.525,0.01,22.192,0.011
NGC1407_GC112 ,55.121538,-18.57215,1545,14,23.083,0.006,22.466,0.007,22.167,0.005
NGC1407_GC113 ,55.113779,-18.638628,1275,7,22.447,0.009,21.775,0.005,21.474,0.004
NGC1407_GC114 ,54.99395,-18.501008,1632,12,22.269,0.01,21.694,0.01,21.439,0.006
NGC1407_GC115 ,55.04135,-18.514558,1761,6,22.891,0.007,22.12,0.011,21.756,0.011
NGC1407_GC116 ,55.138271,-18.517989,1875,9,22.642,0.005,22.076,0.005,21.835,0.006
NGC1407_GC117 ,55.128521,-18.428789,2017,11,23.017,0.012,22.424,0.008,22.144,0.011
NGC1407_GC118 ,55.152492,-18.452858,1857,16,24.055,0.02,23.36,0.023,22.978,0.033
NGC1407_GC119 ,55.033563,-18.62425,1871,14,23.345,0.009,22.672,0.009,22.352,0.009
NGC1407_GC120 ,55.04,-18.539272,1890,12,22.482,0.007,21.921,0.008,21.693,0.011
NGC1407_GC121 ,55.116671,-18.606933,1872,17,23.143,0.006,22.571,0.005,22.311,0.007
NGC1407_GC122 ,55.00405,-18.601175,2006,9,22.538,0.005,21.855,0.006,21.504,0.005
NGC1407_GC123 ,55.050379,-18.607358,2057,9,22.035,0.022,21.392,0.018,21.123,0.02
NGC1407_GC124 ,55.044833,-18.471931,1874,5,22.659,0.011,21.884,0.01,21.48,0.008
NGC1407_GC125 ,55.053246,-18.519372,1848,8,22.261,0.017,21.735,0.011,21.498,0.013
NGC1407_GC126 ,55.103871,-18.586281,1822,9,22.377,0.007,21.648,0.009,21.286,0.004
NGC1407_GC127 ,55.068229,-18.644181,1928,10,23.723,0.006,22.937,0.008,22.53,0.006
NGC1407_GC128 ,55.055871,-18.558825,1376,19,23.301,0.01,22.707,0.011,22.406,0.013
NGC1407_GC129 ,55.071571,-18.520058,1820,17,23.239,0.011,22.669,0.006,22.436,0.01
NGC1407_GC130 ,55.028904,-18.601475,1291,9,22.512,0.006,21.78,0.008,21.422,0.006
NGC1407_GC131 ,54.999708,-18.573119,1837,8,23.136,0.008,22.387,0.008,22,0.005
NGC1407_GC132 ,55.105225,-18.608103,1397,9,22.974,0.007,22.272,0.006,21.922,0.007
NGC1407_GC133 ,55.074196,-18.605206,1384,8,22.439,0.011,21.74,0.007,21.403,0.009
NGC1407_GC134 ,55.060746,-18.569261,1520,6,22.375,0.005,21.55,0.006,21.155,0.008
NGC1407_GC135 ,55.0675,-18.481872,2164,5,21.25,0.009,20.535,0.011,20.183,0.006
NGC1407_GC136 ,55.019942,-18.603608,1917,9,22.902,0.012,22.027,0.011,21.608,0.013
NGC1407_GC137 ,55.069383,-18.501947,1948,29,23.572,0.008,22.964,0.007,22.678,0.006
NGC1407_GC138 ,55.041246,-18.622975,1681,17,22.763,0.014,22.173,0.01,21.923,0.01
NGC1407_GC139 ,55.064,-18.536892,1916,6,22.106,0.014,21.487,0.008,21.213,0.013
NGC1407_GC140 ,55.125675,-18.421267,1987,33,24.047,0.012,23.392,0.014,23.091,0.013
NGC1407_GC141 ,55.043104,-18.525797,1778,16,23.252,0.007,22.554,0.01,22.231,0.009
NGC1407_GC142 ,55.0317,-18.6292,1401,16,22.275,0.009,21.642,0.009,21.368,0.01
NGC1407_GC143 ,55.227308,-18.506614,1975,53,24.083,0.005,23.517,0.009,23.253,0.012
NGC1407_GC144 ,55.067588,-18.668828,1506,14,23.625,0.006,22.826,0.005,22.382,0.008
NGC1407_GC145 ,55.158892,-18.567089,1584,31,23.133,0.012,22.612,0.007,22.383,0.01
NGC1407_GC146 ,55.033596,-18.682089,1750,13,22.645,0.016,21.951,0.014,21.64,0.013
NGC1407_GC147 ,55.108738,-18.628986,1818,6,21.441,0.028,20.783,0.025,20.487,0.023
NGC1407_GC148 ,55.064483,-18.668336,1690,19,22.977,0.012,22.411,0.011,22.16,0.01
NGC1407_GC149 ,55.030625,-18.547744,1452,10,22.299,0.004,21.636,0.009,21.353,0.01
NGC1407_GC150 ,54.999763,-18.612861,1926,11,22.222,0.006,21.603,0.01,21.308,0.005
NGC1407_GC151 ,55.062454,-18.5918,1577,11,22.571,0.011,21.975,0.011,21.706,0.014
NGC1407_GC152 ,55.092775,-18.5626,1710,10,23.083,0.007,22.406,0.007,22.067,0.009
NGC1407_GC153 ,55.076438,-18.537525,1738,11,23.623,0.011,22.834,0.009,22.43,0.013
NGC1407_GC154 ,55.048721,-18.490317,1791,20,23.263,0.008,22.701,0.008,22.468,0.007
NGC1407_GC155 ,55.076104,-18.464692,1476,23,23.609,0.007,23.004,0.01,22.758,0.006
NGC1407_GC156 ,55.112608,-18.591733,1721,8,21.932,0.027,21.311,0.026,21.042,0.024
NGC1407_GC157 ,55.133062,-18.479528,2315,17,23.21,0.009,22.637,0.009,22.387,0.008
NGC1407_GC158 ,55.25375,-18.640153,1465,9,22.248,0.018,21.597,0.017,21.309,0.026
NGC1407_GC159 ,55.23805,-18.516714,1671,9,22.373,0.005,21.711,0.006,21.389,0.008
NGC1407_GC160 ,55.248638,-18.446392,1396,12,22.199,0.024,21.654,0.021,21.396,0.025
NGC1407_GC161 ,55.199988,-18.520458,1506,11,22.536,0.003,21.826,0.004,21.474,0.005
NGC1407_GC162 ,55.232554,-18.443008,1810,13,22.342,0.012,21.812,0.013,21.558,0.019
NGC1407_GC163 ,55.206213,-18.475908,1740,11,22.913,0.005,22.136,0.006,21.723,0.006
NGC1407_GC164 ,55.202017,-18.500231,1809,25,22.86,0.008,22.121,0.007,21.752,0.012
NGC1407_GC165 ,55.215738,-18.549617,1605,11,22.62,0.01,22.032,0.007,21.765,0.015
NGC1407_GC166 ,55.212013,-18.547219,1734,12,22.926,0.006,22.186,0.003,21.811,0.008
NGC1407_GC167 ,55.293379,-18.645792,1401,15,22.614,0.012,22.1,0.015,21.834,0.014
NGC1407_GC168 ,55.204725,-18.443547,1522,12,22.921,0.007,22.238,0.009,21.892,0.01
NGC1407_GC169 ,55.244821,-18.638194,1558,20,23.193,0.015,22.61,0.013,22.339,0.024
NGC1407_GC170 ,55.257167,-18.568561,1880,15,23.453,0.032,22.732,0.022,22.386,0.03
NGC1407_GC171 ,55.280542,-18.587044,1510,15,23.65,0.025,22.823,0.02,22.393,0.025
NGC1407_GC172 ,55.22095,-18.468367,1658,29,23.435,0.004,22.772,0.006,22.46,0.006
NGC1407_GC173 ,55.209042,-18.486758,1782,23,23.367,0.003,22.772,0.007,22.514,0.008
NGC1407_GC174 ,55.239992,-18.483558,2188,20,23.482,0.008,22.889,0.012,22.616,0.012
NGC1407_GC175 ,55.228392,-18.588619,2092,35,23.463,0.007,22.931,0.007,22.699,0.012
NGC1407_GC176 ,55.216096,-18.4811,1708,20,23.971,0.011,23.271,0.017,22.944,0.019
NGC1407_GC177 ,55.219013,-18.478603,1670,10,21.818,0.145,20.955,0.134,20.558,0.147
NGC1407_GC178 ,55.058625,-18.641786,1482,5,21.384,0.018,20.629,0.017,20.266,0.019
NGC1407_GC179 ,55.089904,-18.725344,1712,5,21.287,0.038,20.595,0.034,20.294,0.038
NGC1407_GC180 ,55.117646,-18.717783,1505,5,21.477,0.03,20.737,0.028,20.414,0.033
NGC1407_GC181 ,55.068533,-18.633122,1939,5,21.445,0.004,20.809,0.006,20.516,0.006
NGC1407_GC182 ,55.109254,-18.609608,1767,6,21.404,0.016,20.796,0.015,20.535,0.01
NGC1407_GC183 ,55.095542,-18.616272,2056,6,21.629,0.027,20.99,0.029,20.691,0.027
NGC1407_GC184 ,55.04445,-18.6119,1656,7,21.825,0.005,21.092,0.006,20.733,0.006
NGC1407_GC185 ,55.053163,-18.668475,2162,7,21.702,0.01,21.091,0.011,20.811,0.01
NGC1407_GC186 ,55.073558,-18.566922,2051,7,21.855,0.006,21.158,0.006,20.817,0.008
NGC1407_GC187 ,55.073108,-18.776175,1668,8,21.847,0.008,21.183,0.008,20.868,0.009
NGC1407_GC188 ,55.045346,-18.583444,1534,29,21.945,0.059,21.259,0.042,20.878,0.047
NGC1407_GC189 ,55.063854,-18.705056,1742,8,22.007,0.015,21.337,0.013,21.004,0.012
NGC1407_GC190 ,55.058908,-18.567439,1553,9,22.288,0.01,21.515,0.006,21.117,0.011
NGC1407_GC191 ,55.059138,-18.563889,1814,10,22.364,0.012,21.624,0.008,21.253,0.013
NGC1407_GC192 ,55.11075,-18.688456,1978,9,22.07,0.026,21.509,0.024,21.255,0.024
NGC1407_GC193 ,55.059825,-18.571914,2008,13,22.511,0.021,21.66,0.031,21.264,0.021
NGC1407_GC194 ,55.051496,-18.546214,2108,17,22.337,0.009,21.65,0.007,21.334,0.013
NGC1407_GC195 ,55.076471,-18.621342,1380,8,22.391,0.006,21.706,0.005,21.38,0.006
NGC1407_GC196 ,55.063788,-18.542444,2019,20,22.289,0.01,21.684,0.009,21.421,0.01
NGC1407_GC197 ,55.059458,-18.549294,1810,10,22.224,0.008,21.669,0.008,21.421,0.01
NGC1407_GC198 ,55.057338,-18.589364,1493,10,22.646,0.01,21.844,0.01,21.429,0.011
NGC1407_GC199 ,55.0714,-18.601392,1922,9,22.454,0.009,21.769,0.009,21.436,0.008
NGC1407_GC200 ,55.061963,-18.551481,1592,15,22.578,0.026,21.822,0.018,21.471,0.03
NGC1407_GC201 ,55.053988,-18.580292,1945,10,22.244,0.016,21.777,0.011,21.525,0.013
NGC1407_GC202 ,55.051563,-18.561747,1771,11,22.899,0.008,22.135,0.012,21.748,0.012
NGC1407_GC203 ,55.056542,-18.626514,1850,12,22.891,0.005,22.205,0.006,21.883,0.006
NGC1407_GC204 ,55.055288,-18.658917,1833,11,23.145,0.006,22.318,0.008,21.903,0.007
NGC1407_GC205 ,55.056908,-18.629425,1810,24,22.929,0.005,22.301,0.007,22.012,0.008
NGC1407_GC206 ,55.085642,-18.632239,1284,16,23.254,0.009,22.466,0.009,22.04,0.008
NGC1407_GC207 ,55.072875,-18.707372,1839,15,22.896,0.014,22.354,0.014,22.105,0.014
NGC1407_GC208 ,55.072475,-18.554286,2298,17,23.443,0.008,22.572,0.006,22.139,0.01
NGC1407_GC209 ,55.080588,-18.676353,1788,14,23.212,0.006,22.538,0.006,22.16,0.007
NGC1407_GC210 ,55.060096,-18.590631,1778,26,23.308,0.008,22.536,0.008,22.169,0.01
NGC1407_GC211 ,55.076863,-18.608494,1570,15,23.294,0.009,22.648,0.011,22.341,0.012
NGC1407_GC212 ,55.074442,-18.591506,1940,29,23.428,0.009,22.801,0.011,22.53,0.012
NGC1407_GC213 ,55.087125,-18.709969,1257,16,23.474,0.009,22.879,0.008,22.593,0.006
NGC1407_GC214 ,55.056713,-18.541028,1772,28,23.757,0.067,22.964,0.029,22.614,0.046
NGC1407_GC215 ,55.051796,-18.666772,1699,18,23.726,0.005,22.995,0.006,22.64,0.005
NGC1407_GC216 ,55.099721,-18.63865,1787,14,23.901,0.006,23.07,0.008,22.656,0.007
NGC1407_GC217 ,55.076983,-18.657264,1667,28,24.001,0.005,23.179,0.007,22.721,0.006
NGC1407_GC218 ,55.073646,-18.651681,1687,23,23.97,0.006,23.193,0.01,22.781,0.007
NGC1407_GC219 ,55.123038,-18.742192,1867,17,23.687,0.012,23.108,0.009,22.856,0.013
NGC1407_GC220 ,55.063417,-18.66115,1786,21,23.675,0.008,23.137,0.006,22.882,0.006
NGC1407_GC221 ,55.069854,-18.583692,1808,55,23.173,0.015,22.601,0.017,22.344,0.018
NGC1407_GC222 ,55.084683,-18.591614,1877,13,23.003,0.01,22.25,0.011,21.899,0.009
NGC1407_GC223 ,54.861854,-18.688042,1995,6,21.05,0.043,20.441,0.044,20.218,0.041
NGC1407_GC224 ,55.029575,-18.588053,1643,7,21.561,0.008,20.911,0.007,20.623,0.005
NGC1407_GC225 ,55.024646,-18.595842,1792,6,21.619,0.007,20.955,0.007,20.638,0.005
NGC1407_GC226 ,54.907333,-18.655794,1824,6,21.94,0.008,21.15,0.006,20.754,0.007
NGC1407_GC227 ,55.061046,-18.573961,1515,36,21.78,0.009,21.086,0.01,20.759,0.014
NGC1407_GC228 ,54.969517,-18.629297,1530,7,21.738,0.007,21.133,0.007,20.859,0.007
NGC1407_GC229 ,54.966488,-18.570692,1765,9,21.89,0.046,21.253,0.038,20.98,0.042
NGC1407_GC230 ,54.8708,-18.640953,1911,9,22.048,0.025,21.375,0.025,21.114,0.024
NGC1407_GC231 ,55.010879,-18.540103,1647,8,22.021,0.018,21.413,0.016,21.123,0.014
NGC1407_GC232 ,54.994354,-18.591039,1575,6,22.268,0.01,21.553,0.008,21.181,0.007
NGC1407_GC233 ,54.981475,-18.607242,1998,8,22.152,0.007,21.514,0.007,21.23,0.006
NGC1407_GC234 ,54.981021,-18.634575,1679,6,22.109,0.045,21.48,0.041,21.244,0.039
NGC1407_GC235 ,54.945396,-18.611525,1521,9,22.498,0.004,21.789,0.007,21.441,0.007
NGC1407_GC236 ,55.032046,-18.601133,1821,12,22.415,0.018,21.784,0.015,21.519,0.015
NGC1407_GC237 ,55.057225,-18.583772,1479,11,22.726,0.016,21.973,0.021,21.538,0.022
NGC1407_GC238 ,54.998342,-18.6005,2033,11,22.791,0.007,21.97,0.01,21.545,0.005
NGC1407_GC239 ,55.015192,-18.587692,1461,8,22.536,0.01,21.947,0.01,21.68,0.005
NGC1407_GC240 ,55.011675,-18.572911,2017,9,22.67,0.009,22.033,0.011,21.776,0.007
NGC1407_GC241 ,54.957808,-18.656658,1706,12,22.537,0.013,22.002,0.009,21.776,0.009
NGC1407_GC242 ,55.039979,-18.557625,1403,14,22.775,0.005,22.082,0.007,21.781,0.01
NGC1407_GC243 ,55.0114,-18.628108,1669,16,23.095,0.011,22.431,0.011,22.101,0.008
NGC1407_GC244 ,54.938067,-18.655553,2147,14,23.058,0.006,22.416,0.006,22.13,0.008
NGC1407_GC245 ,55.019521,-18.584378,1840,15,23.541,0.009,22.792,0.015,22.442,0.007
NGC1407_GC246 ,54.966954,-18.640614,1806,21,23.489,0.006,22.794,0.006,22.47,0.006
NGC1407_GC247 ,55.014479,-18.573439,1653,16,23.626,0.006,22.892,0.011,22.535,0.009
NGC1407_GC248 ,54.89755,-18.658086,2092,21,23.379,0.011,22.807,0.008,22.564,0.006
NGC1407_GC249 ,55.007367,-18.603117,1852,18,23.585,0.005,22.905,0.009,22.585,0.005
NGC1407_GC250 ,54.967683,-18.655378,1772,23,23.889,0.009,23.141,0.012,22.738,0.007
NGC1407_GC251 ,54.976354,-18.640633,2226,16,23.571,0.011,23.002,0.01,22.75,0.009
NGC1407_GC252 ,54.977004,-18.619567,1880,22,23.867,0.014,23.12,0.012,22.766,0.009
NGC1407_GC253 ,55.019488,-18.567883,1792,24,23.64,0.021,23.057,0.024,22.819,0.014
NGC1407_GC254 ,55.025675,-18.569186,1911,10,22.617,0.009,21.896,0.008,21.563,0.012
NGC1407_GC255 ,55.018137,-18.56985,1646,10,22.432,0.005,21.836,0.009,21.55,0.005
NGC1407_GC256 ,55.044529,-18.565611,1580,13,22.377,0.007,21.712,0.005,21.409,0.012
NGC1407_GC257 ,55.0397,-18.569856,1648,7,22.077,0.005,21.363,0.007,21.023,0.007
NGC1407_GC258 ,55.04175,-18.568922,1954,5,21.421,0.014,20.546,0.015,20.114,0.011
NGC1407_GC259 ,55.052288,-18.549094,1656,15,22.785,0.006,22.061,0.009,21.723,0.013
NGC1407_GC260 ,55.075554,-18.562328,1666,12,23.334,0.01,22.458,0.009,22.035,0.015
NGC1407_GC261 ,55.077892,-18.599725,1802,16,23.351,0.009,22.797,0.009,22.56,0.01
NGC1407_GC262 ,54.981608,-18.517258,2208,10,22.613,0.008,22.063,0.007,21.822,0.005
NGC1407_GC263 ,55.04615,-18.589936,1672,18,23.223,0.014,22.498,0.01,22.135,0.012
NGC1407_GC264 ,55.093863,-18.632275,1686,23,23.373,0.022,22.862,0.016,22.637,0.014
NGC1407_GC265 ,55.090046,-18.588636,1708,13,23.043,0.008,22.25,0.009,21.865,0.01
NGC1407_GC266 ,55.018129,-18.562178,2077,11,23.274,0.01,22.427,0.015,21.987,0.009
NGC1407_GC267 ,55.102383,-18.591475,1950,22,23.345,0.007,22.746,0.009,22.449,0.007
NGC1407_GC268 ,55.066433,-18.609242,1811,11,22.334,0.008,21.652,0.008,21.336,0.01
NGC1407_GC269 ,55.019104,-18.543864,1809,12,23.013,0.005,22.226,0.013,21.852,0.006
NGC1407_GC270 ,55.023258,-18.553853,1648,8,22.582,0.005,21.917,0.011,21.624,0.007
NGC1407_GC271 ,55.043329,-18.572686,1884,8,21.558,0.006,20.933,0.006,20.662,0.007
NGC1407_GC272 ,55.145442,-18.591361,2475,15,22.344,0.009,21.746,0.007,21.484,0.01
NGC1407_GC273 ,55.141179,-18.614908,2006,24,23.795,0.009,23.213,0.007,22.97,0.006
NGC1407_GC274 ,55.074329,-18.619503,1814,19,23.538,0.008,22.778,0.008,22.387,0.007
NGC1407_GC275 ,55.079892,-18.581272,1793,9,23.079,0.009,22.29,0.014,21.933,0.012
NGC1407_GC276 ,55.111425,-18.626269,1551,24,24.222,0.006,23.448,0.01,23.034,0.009
NGC1407_GC277 ,55.019383,-18.575253,1849,9,22.285,0.009,21.561,0.01,21.198,0.006
NGC1407_GC278 ,55.020696,-18.545139,1655,20,22.827,0.006,22.208,0.012,21.956,0.005
NGC1407_GC279 ,55.120846,-18.573664,1700,19,23.715,0.007,22.938,0.005,22.567,0.005
NGC1407_GC280 ,54.99325,-18.537478,1603,17,23.024,0.013,22.283,0.009,21.909,0.007
NGC1407_GC281 ,55.0857,-18.596058,1211,29,23.263,0.011,22.519,0.012,22.155,0.01
NGC1407_GC282 ,55.127529,-18.579069,1982,17,23.862,0.007,23.068,0.007,22.673,0.007
NGC1407_GC283 ,55.035821,-18.513367,1439,29,22.888,0.019,22.306,0.017,22.054,0.02
NGC1407_GC284 ,55.05505,-18.582578,1577,14,22.318,0.007,21.669,0.008,21.33,0.007
NGC1407_GC285 ,55.021463,-18.548828,1564,8,22.074,0.01,21.421,0.015,21.126,0.005
NGC1407_GC286 ,55.1369,-18.653372,1735,14,23.085,0.009,22.338,0.005,21.959,0.012
NGC1407_GC287 ,54.963,-18.485567,1622,35,20.893,0.018,20.143,0.014,19.779,0.017
NGC1407_GC288 ,55.049792,-18.557092,2153,14,22.857,0.008,22.157,0.008,21.831,0.014
NGC1407_GC289 ,55.102021,-18.630689,1699,9,22.642,0.012,21.839,0.007,21.434,0.006
NGC1407_GC290 ,55.043075,-18.510558,2200,14,23.392,0.011,22.566,0.009,22.148,0.011
NGC1407_GC291 ,55.136592,-18.616578,1606,15,23.539,0.007,22.682,0.006,22.279,0.008
NGC1407_GC292 ,55.031067,-18.556558,1401,13,23.06,0.006,22.439,0.01,22.163,0.007
NGC1407_GC293 ,55.092729,-18.569161,1929,14,22.884,0.006,22.057,0.006,21.654,0.008
NGC1407_GC294 ,55.003371,-18.547628,1623,16,22.974,0.012,22.201,0.01,21.835,0.005
NGC1407_GC295 ,55.113896,-18.614553,2012,17,23.364,0.012,22.625,0.009,22.266,0.007
NGC1407_GC296 ,55.118733,-18.601522,1656,14,23.329,0.007,22.539,0.01,22.149,0.007
NGC1407_GC297 ,54.964963,-18.518025,1921,33,22.61,0.017,22.027,0.012,21.765,0.016
NGC1407_GC298 ,55.111058,-18.623372,1984,35,24.19,0.005,23.445,0.008,23.061,0.009
NGC1407_GC299 ,55.011042,-18.514156,1759,13,23.413,0.005,22.61,0.013,22.213,0.005
NGC1407_GC300 ,55.039721,-18.555008,1461,24,23.454,0.009,22.764,0.01,22.47,0.007
NGC1407_GC301 ,55.089233,-18.599842,1472,13,23.13,0.007,22.389,0.011,22.03,0.007
NGC1407_GC302 ,55.080829,-18.589775,1945,25,22.615,0.006,22.056,0.007,21.806,0.006
NGC1407_GC303 ,55.039804,-18.579208,2085,9,22.162,0.007,21.429,0.008,21.067,0.007
NGC1407_GC304 ,54.980296,-18.483656,1899,19,23.422,0.007,22.643,0.005,22.237,0.005
NGC1407_GC305 ,54.98015,-18.542789,1791,20,23.378,0.006,22.604,0.006,22.209,0.006
NGC1407_GC306 ,55.091017,-18.592633,1440,15,23.227,0.009,22.608,0.009,22.333,0.01
NGC1407_GC307 ,55.181371,-18.625983,1751,13,22.875,0.01,22.291,0.007,22.04,0.012
NGC1407_GC308 ,55.063542,-18.606875,2238,24,23.807,0.012,23.017,0.014,22.636,0.017
NGC1407_GC309 ,54.965275,-18.526861,1713,12,21.475,0.024,20.788,0.024,20.478,0.024
NGC1407_GC310 ,55.009425,-18.512342,2051,26,23.073,0.008,22.49,0.008,22.242,0.007
NGC1407_GC311 ,55.125913,-18.646381,1729,17,23.564,0.008,22.736,0.005,22.328,0.009
NGC1407_GC312 ,55.031663,-18.580106,1536,5,21.46,0.018,20.817,0.015,20.539,0.013
NGC1407_GC313 ,55.030346,-18.543067,1996,17,22.868,0.009,22.304,0.01,22.059,0.007
NGC1407_GC314 ,55.095567,-18.623464,1244,29,22.899,0.007,22.353,0.008,22.123,0.005
NGC1407_GC315 ,55.073,-18.581189,1702,14,22.584,0.007,21.969,0.01,21.687,0.009
NGC1407_GC316 ,55.017792,-18.481931,1518,8,21.691,0.019,21.065,0.021,20.78,0.017
NGC1407_GC317 ,55.099392,-18.607408,1570,29,24.233,0.007,23.456,0.008,23.084,0.014
NGC1407_GC318 ,55.012875,-18.620108,1712,37,23.672,0.013,23.019,0.022,22.738,0.024
NGC1407_GC319 ,55.054179,-18.428133,1376,15,22.415,0.014,21.77,0.013,21.464,0.009
NGC1407_GC320 ,54.999475,-18.438258,1789,33,23.493,0.006,22.794,0.007,22.471,0.007
NGC1407_GC321 ,55.108671,-18.392189,2028,43,22.984,0.006,22.475,0.011,22.221,0.007
NGC1407_GC322 ,55.069446,-18.413822,1756,33,23.635,0.009,22.849,0.01,22.425,0.005
NGC1407_GC323 ,55.060842,-18.428211,1628,18,22.923,0.012,22.366,0.012,22.117,0.007
NGC1407_GC324 ,54.996204,-18.451456,1824,18,23.219,0.007,22.607,0.006,22.317,0.005
NGC1407_GC325 ,54.969942,-18.438325,1602,21,22.825,0.013,22.26,0.009,22.009,0.009
NGC1407_GC326 ,54.917379,-18.495622,1712,12,21.616,0.02,21.018,0.018,20.761,0.017
NGC1407_GC327 ,54.996775,-18.458353,2121,23,23.642,0.016,22.912,0.017,22.624,0.015
NGC1407_GC328 ,54.956075,-18.444617,1858,22,23.476,0.005,22.807,0.005,22.5,0.008
NGC1407_GC329 ,54.863929,-18.605089,2019,8,21.668,0.037,21.058,0.034,20.8,0.034
NGC1407_GC330 ,54.822104,-18.6148,2257,15,22.286,0.019,21.678,0.016,21.434,0.018
NGC1407_GC331 ,54.841904,-18.634108,1807,11,22.823,0.012,22.029,0.01,21.637,0.009
NGC1407_GC332 ,54.794417,-18.573364,2247,20,22.753,0.009,22.035,0.007,21.69,0.008
NGC1407_GC333 ,55.004683,-18.688858,1788,9,21.605,0.009,20.945,0.009,20.6,0.008
NGC1407_GC334 ,55.0833,-18.727389,2002,20,22.205,0.022,21.613,0.017,21.359,0.018
NGC1407_GC335 ,54.949829,-18.688103,1618,12,22.212,0.02,21.662,0.019,21.437,0.02
NGC1407_GC336 ,54.924967,-18.706581,2143,11,22.271,0.016,21.701,0.014,21.463,0.015
NGC1407_GC337 ,55.0336,-18.682081,1767,21,22.645,0.016,21.951,0.014,21.64,0.013
NGC1407_GC338 ,55.0011,-18.728997,1974,16,22.544,0.008,21.93,0.007,21.646,0.012
NGC1407_GC339 ,54.909704,-18.694453,1871,13,22.503,0.006,21.905,0.004,21.655,0.007
NGC1407_GC340 ,55.010954,-18.678911,1916,17,22.728,0.006,22.099,0.006,21.809,0.01
NGC1407_GC341 ,55.049338,-18.705592,1810,19,22.921,0.004,22.247,0.006,21.931,0.006
NGC1407_GC342 ,55.075346,-18.689392,1813,22,23.011,0.019,22.294,0.018,21.933,0.019
NGC1407_GC343 ,54.960558,-18.700536,2301,18,22.911,0.005,22.305,0.006,22.053,0.007
NGC1407_GC344 ,54.933146,-18.698703,1496,20,23.079,0.005,22.383,0.006,22.055,0.007
NGC1407_GC345 ,55.047142,-18.732244,1654,15,23.187,0.013,22.549,0.011,22.244,0.014
NGC1407_GC346 ,55.027588,-18.711864,2020,13,23.062,0.011,22.507,0.012,22.247,0.011
NGC1407_GC347 ,54.974,-18.693628,1751,23,23.178,0.017,22.54,0.016,22.269,0.018
NGC1407_GC348 ,55.052221,-18.661625,1554,28,23.339,0.005,22.682,0.006,22.369,0.005
NGC1407_GC349 ,55.067596,-18.668819,1538,22,23.625,0.006,22.826,0.005,22.382,0.008
NGC1407_GC350 ,54.862392,-18.688247,1985,15,23.419,0.023,22.742,0.025,22.436,0.018
NGC1407_GC351 ,54.871288,-18.551375,1604,20,23.547,0.014,22.997,0.014,22.768,0.009
NGC1407_GC352 ,54.876525,-18.639256,1148,14,23.22,0.01,22.679,0.007,22.452,0.01
NGC1407_GC353 ,54.886737,-18.621356,1427,27,23.245,0.024,22.656,0.019,22.394,0.021
NGC1407_GC354 ,54.879875,-18.634053,2184,29,23.179,0.017,22.613,0.017,22.382,0.014
NGC1407_GC355 ,54.886508,-18.624733,1772,19,22.722,0.01,22.189,0.01,21.971,0.01
NGC1407_GC356 ,54.881675,-18.575839,1910,22,22.77,0.012,22.203,0.01,21.944,0.006
NGC2768_GC1   ,137.799716,60.014624,1309,6,22.475,0.034,22.006,0.026,21.883,0.037
NGC2768_GC2   ,137.846768,60.040208,1014,5,20.772,0.013,20.519,0.009,20.336,0.013
NGC2768_GC3   ,137.949797,60.012023,1088,11,22.546,0.038,22.279,0.029,22.186,0.049
NGC2768_GC4   ,137.867672,59.982954,1189,13,23.029,0.048,22.753,0.04,22.778,0.07
NGC2768_GC5   ,137.829517,60.03306,1266,8,23.047,0.054,22.597,0.039,22.361,0.052
NGC2768_GC6   ,137.847328,60.066354,1260,13,22.273,0.035,22.118,0.031,21.825,0.04
NGC2768_GC7   ,137.793094,60.031419,1303,5,21.812,0.024,21.433,0.018,21.202,0.025
NGC2768_GC8   ,137.698429,60.049859,1379,8,22.519,0.041,22.256,0.028,22.05,0.041
NGC2768_GC9   ,137.988097,60.043216,1371,7,22.132,0.03,21.751,0.021,21.463,0.033
NGC2768_GC10  ,137.760775,60.001069,1308,11,22.513,0.04,22.163,0.027,21.932,0.046
NGC2768_GC11  ,137.912109,59.98711,1566,8,22.048,0.031,21.715,0.021,21.694,0.031
NGC2768_GC12  ,137.903214,60.071148,1194,5,19.909,0.008,19.534,0.005,19.269,0.007
NGC2768_GC13  ,138.019203,60.103998,1607,14,23.086,0.059,22.618,0.047,22.791,0.081
NGC2768_GC14  ,137.976241,60.067069,1411,21,23.35,0.068,22.775,0.046,22.465,0.067
NGC2768_GC15  ,137.96257,60.048748,1542,9,21.381,0.019,21.12,0.014,20.813,0.021
NGC2768_GC16  ,137.961582,60.044188,1535,20,23.308,0.066,22.732,0.052,22.389,0.066
NGC2768_GC17  ,137.95441,60.062911,1138,40,23.446,0.076,22.985,0.057,22.919,0.078
NGC2768_GC18  ,137.9544,60.101469,1283,31,23.24,0.07,23.063,0.061,22.746,0.08
